Iteration	Posterior	Likelihood	Prior	age_morphometrics	alpha[1]	alpha[2]	alpha[3]	alpha[4]	alpha_morpho	branch_rates_mean	clock_morpho	clock_rates[1]	clock_rates[2]	clock_rates[3]	clock_rates[4]	clock_rates[5]	clock_rates[6]	clock_rates[7]	clock_rates[8]	clock_rates[9]	clock_rates[10]	clock_rates[11]	clock_rates[12]	clock_rates[13]	clock_rates[14]	clock_rates[15]	clock_rates[16]	clock_rates[17]	clock_rates[18]	clock_rates[19]	clock_rates[20]	clock_rates[21]	clock_rates[22]	clock_rates[23]	clock_rates[24]	clock_rates[25]	clock_rates[26]	clock_rates[27]	clock_rates[28]	clock_rates[29]	clock_rates[30]	clock_rates[31]	clock_rates[32]	clock_rates[33]	clock_rates[34]	clock_rates[35]	clock_rates[36]	clock_rates[37]	clock_rates[38]	clock_rates[39]	clock_rates[40]	clock_rates[41]	clock_rates[42]	clock_rates[43]	clock_rates[44]	clock_rates[45]	clock_rates[46]	clock_rates[47]	clock_rates[48]	clock_rates[49]	clock_rates[50]	clock_rates[51]	clock_rates[52]	clock_rates[53]	clock_rates[54]	clock_rates[55]	clock_rates[56]	clock_rates[57]	clock_rates[58]	clock_rates[59]	clock_rates[60]	clock_rates[61]	clock_rates[62]	clock_rates[63]	clock_rates[64]	clock_rates[65]	clock_rates[66]	clock_rates[67]	clock_rates[68]	clock_rates[69]	clock_rates[70]	clock_rates[71]	clock_rates[72]	clock_rates[73]	clock_rates[74]	clock_rates[75]	clock_rates[76]	clock_rates[77]	clock_rates[78]	clock_rates[79]	clock_rates[80]	clock_rates[81]	clock_rates[82]	clock_rates[83]	clock_rates[84]	clock_rates[85]	clock_rates[86]	clock_rates[87]	clock_rates[88]	clock_rates[89]	clock_rates[90]	clock_rates[91]	clock_rates[92]	clock_rates[93]	clock_rates[94]	clock_rates[95]	clock_rates[96]	clock_rates[97]	clock_rates[98]	clock_rates[99]	clock_rates[100]	clock_rates[101]	clock_rates[102]	clock_rates[103]	clock_rates[104]	clock_rates[105]	clock_rates[106]	clock_rates[107]	clock_rates[108]	clock_rates[109]	clock_rates[110]	clock_rates[111]	clock_rates[112]	clock_rates[113]	clock_rates[114]	clock_rates[115]	clock_rates[116]	clock_rates[117]	clock_rates[118]	clock_rates[119]	clock_rates[120]	clock_rates[121]	clock_rates[122]	clock_rates[123]	clock_rates[124]	diversification	extinction_rate	num_samp_anc	origin_time	pinvar[1]	pinvar[2]	pinvar[3]	pinvar[4]	psi	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	speciation_rate	TH	TL	turnover
0	-99204.04	-98829.64	-374.4017	88.88553	1.28285	0.0675037	0.0879585	0.830608	1.249037	0.0130917	0.1770228	0.0176283	0.0327924	0.0207332	0.0169601	0.0116787	0.00240355	0.00247943	0.070349	0.00783054	0.0339549	0.00534258	0.0026701	0.0371343	0.0135771	0.00727927	0.0312144	0.0255332	0.00712642	0.0621661	0.0104445	0.0112214	0.0141308	0.0349356	0.0300957	0.0217	0.0335634	0.0169252	0.00206415	0.00191851	0.0267001	0.00668172	0.0779081	0.00734761	0.000514547	0.00552971	0.00912359	0.0578946	0.0345542	0.0262852	0.00560545	0.0208274	0.00333028	0.00231341	0.0155947	0.0111741	0.000953984	0.00175272	0.0683735	0.00663487	0.0036871	0.0048584	0.0146972	0.031937	0.000660568	0.00524356	0.00770515	0.000915875	0.00172633	0.0377652	0.0149721	0.00934386	0.0102231	0.0106916	0.00137164	0.0303736	0.00295304	0.0148477	0.0122513	0.000468199	0.0146092	0.0034498	0.0067349	0.00155578	0.00679809	0.0204806	0.00924031	0.0245132	0.0176261	0.0286524	0.00671756	0.0052161	0.0124379	0.0530624	0.0163022	0.00641945	0.000643458	0.0195976	0.00703982	0.0173537	0.00468236	0.00157259	0.0124075	0.000506156	0.0153073	0.00237731	0.0154005	0.00397231	0.001818	0.0107246	0.0082865	0.00791935	0.00669109	0.00255347	0.011336	0.0182119	0.0154239	0.0166818	0.000520073	0.0215579	0.016575	0.00311784	0.000219802	0.00526794	0.00535869	0.0821542	0.0538147	0.00161979	0.00267621	0.0170888	0.018928	0.0522345	0.00945153	0.0193616	0.0221801	0.1007049	0.03185567	0	90.45691	0.320018	0.814415	0.0762569	0.447661	0.1153865	0.183827	0.540651	1.03152	2.244	0.1325606	90.13933	875.3961	0.2403103
50	-58005.74	-57677.73	-328.0049	81.32172	1.23648	0.0707585	0.0870934	0.849924	1.631245	0.02021795	0.02468474	0.0181702	0.0576014	0.0190735	0.0478672	0.0113553	0.0174017	0.0033582	0.0589339	0.0489725	0.0479148	0.013147	0.0147579	0.0154804	0.0034485	0.0725648	0.0157558	0.00971574	0.0163393	0.00777874	0.00783182	0.0670636	0.000925778	0.0386207	0.0393019	0.00526583	0.00567538	0.0255959	0.0033656	0.013187	0.0198265	0.0316708	0.017326	0.0665509	0.0167287	0.0422316	0.00156699	0.0277772	0.00526506	0.035841	0.013686	0.00256471	0.0311967	0.00439011	0.0150247	0.0194089	0.0163596	0.00218814	0.0374093	0.0119895	0.0332531	0.0457107	0.0624551	0.0434013	0.0125741	0.00832039	0.00219514	0.00956967	0.00268646	0.0206481	0.00922794	0.024391	0.0574296	0.00494068	0.00974358	0.0114937	0.0316866	0.0108109	0.0104279	0.00201503	0.0326297	0.0352268	0.0136212	0.000849712	0.0144834	0.0083367	0.0182981	0.0226937	0.0340579	0.00192545	0.00277009	0.00871487	0.00183738	0.0176609	0.0570598	0.00551756	0.000252817	0.0264418	0.0415655	0.0362342	0.0270244	0.00499545	0.0116419	0.000599009	0.0883484	0.030946	0.0113431	0.0251182	0.0182229	0.0131625	0.0202535	0.00514083	0.0318228	0.00252824	0.0162126	0.0156976	0.00404874	0.00298729	0.00145588	0.0214295	0.0184445	0.00732936	1.65542e-05	0.0505506	0.0217223	0.0396768	0.0107409	0.000191806	0.00681389	0.0513535	0.0162188	0.0250335	0.0396823	0.00629821	0.0498307	-0.00160439	0.1644566	4	89.37299	0.729673	0.226187	0.727854	0.00925504	0.01714654	0.244904	0.609038	1.05728	2.08878	0.1628522	86.614	1083.996	1.009852
100	-57757.95	-57443.42	-314.5297	72.0375	1.21151	0.0726074	0.0846794	0.883432	1.518979	0.01929059	0.0200592	0.0227728	0.0187316	0.0114965	0.00910987	0.0149499	0.00492678	0.0078177	0.00846423	0.00963688	0.00599466	0.0217164	0.0272922	0.0128437	0.0090602	0.00301261	0.00981298	0.0113964	0.00516273	0.0497009	0.0280499	0.061438	0.00204494	0.0389967	0.00294169	0.00501801	0.0639225	0.0444054	0.000489083	0.0110048	0.00802267	0.0104467	0.0503663	0.015533	0.00283095	0.00393531	0.0241758	0.00518992	0.00229049	0.0150698	0.0185783	0.000349522	0.0296298	0.00556133	0.0420644	0.011574	0.00303207	0.00277106	0.0140741	0.0170665	0.0397118	0.0213468	0.0186538	0.0052243	0.00599514	0.0232609	0.00255771	0.0138896	0.0150752	0.0214986	0.0146317	0.0265432	0.0217584	0.00195195	0.00909957	0.0039853	0.0233002	0.00774722	0.00282433	0.000423822	0.0115593	0.0620633	0.0935273	0.0220032	0.000433075	0.00337537	0.00659006	0.0207081	0.0426549	0.00579114	0.0056017	0.0028863	0.00208303	0.0472499	0.0509123	0.013397	0.00579478	0.00928666	0.0146992	0.00858083	0.0463215	0.00388159	0.0258933	0.000738577	0.0155501	0.00124985	0.096757	0.0044245	0.0968514	0.0462221	0.00725939	0.00170039	0.00556278	0.00363857	0.0419798	0.0481171	0.00122217	0.00449091	0.0041615	0.00407419	0.0273732	0.0163199	0.00031848	0.0426922	0.00710022	0.0305167	0.00837471	0.00180261	0.00226731	0.0142779	0.0253629	0.0203014	0.00656678	0.00264236	0.0636844	0.03153165	0.1599032	3	90.61007	0.707228	0.245442	0.737054	0.00379576	0.02378899	0.228239	0.591685	1.05152	2.12856	0.1914348	77.05322	1092.191	0.8352878
150	-57640.66	-57309.25	-331.4185	72.73914	1.13971	0.0781032	0.0741241	0.927039	1.434745	0.01646812	0.01724794	0.0253835	0.0525868	0.0199584	0.00495166	0.0102749	0.0438075	0.0533178	0.0570123	0.0112332	0.0251372	0.0077746	0.00513083	0.008882	0.00829076	0.00949182	0.00217483	0.00369803	0.0265388	0.013916	0.00118234	0.0569607	0.00061275	0.0288017	0.0322991	0.00885962	0.0490788	0.0227735	0.031203	0.00181705	0.0285507	0.0168742	0.00418349	0.00612056	0.00374485	0.00646655	0.00166464	0.00090554	0.000348819	0.00635376	0.0597385	0.0109204	0.0275911	0.0334514	0.0082163	0.0228757	0.014988	0.0172177	0.00681087	0.0162728	0.0315851	0.0109329	0.0188705	0.0430125	0.0092329	0.0173995	0.00133695	0.0172904	0.0327663	0.0387182	0.0207224	0.0329833	0.0121779	0.0592647	0.00703416	0.00302062	0.0107856	0.0143983	0.00236223	0.0042055	0.0229838	0.0611287	0.0515923	0.00671322	0.000436782	0.00565636	0.00105561	0.00525044	0.0119002	0.00152564	0.00198781	0.00431464	0.000379081	0.0103636	0.0301954	0.0027171	0.0125368	0.0606092	0.00679623	0.0343751	0.000865973	0.00131762	0.0300001	0.00302806	0.0688888	0.0314075	0.00491541	0.00426799	0.0172702	0.00257961	0.0297432	0.0261707	0.000263047	0.0151172	0.0322269	0.00592195	0.0028761	0.0821085	0.000787404	0.0117785	0.0271003	0.00702504	2.62643e-05	0.00339342	0.00903828	0.0012333	0.0167446	0.00475284	0.00774419	0.0219598	0.068252	0.0118293	0.0634548	0.00398541	0.0322759	0.01281871	0.3001929	1	84.63712	0.706171	0.302042	0.774536	0.00407058	0.01668731	0.215064	0.577322	1.04635	2.16127	0.3130116	72.76928	1183.461	0.9590472
200	-57557.11	-57217.22	-339.8853	70.69625	1.18954	0.078901	0.0755438	1.00106	2.01596	0.02107159	0.01787626	0.0223123	0.0229872	0.00907736	0.00728126	0.0177472	0.0656628	0.0251659	0.0435963	0.005169	0.00858448	0.00305635	0.0353501	0.0197441	0.000713772	0.00806309	0.0435736	0.00746553	0.0157022	0.000131294	0.0252945	0.0505586	0.00111186	0.0232288	0.0287682	0.00475212	0.00919739	0.00097122	0.0669446	0.00522002	0.00283894	0.150725	0.0763593	6.04502e-05	0.00204467	0.02549	0.0167111	0.00977263	0.0304037	0.00684622	0.0545268	0.00318712	0.0244826	0.0135953	0.0102214	0.0530913	0.0164845	0.0213108	0.00472489	0.0181996	0.0206237	0.00873353	0.0289297	0.0393006	0.0209794	0.0321655	0.00251419	0.00641565	0.00342395	0.0600633	0.00607035	0.0177543	0.0246889	0.019974	0.0260186	0.0111879	0.00911264	0.0307933	0.00140957	0.000931899	0.00326543	0.0523441	0.0248714	0.00151941	0.00234409	0.0113306	0.035912	0.00281638	0.0035671	0.00385415	0.000549736	0.00968359	0.000126475	0.035149	0.0239273	0.070434	0.0119571	0.0690608	0.0193097	0.0217159	0.000834987	0.000734144	0.0134518	0.00332037	0.0215988	0.0247502	0.0432536	0.000725901	0.0161062	0.000805006	0.00270048	0.00902904	0.000186788	0.025463	0.00273595	0.0245156	0.00575483	0.107589	0.00123731	0.0128788	0.00604342	0.0127912	0.00020603	0.0188038	0.0159565	0.0102846	0.0146051	0.0312119	0.000608487	0.0120135	0.0371049	0.0319487	0.00720555	0.0121668	0.00058578	0.004829574	0.2180369	0	82.62837	0.694619	0.232446	0.764149	0.00027544	0.01364512	0.295173	0.6567	1.07038	1.97774	0.2228665	74.67218	1186.915	0.9783297
250	-57455.2	-57122.18	-333.0216	70.84632	1.07337	0.07669	0.0837847	1.17528	1.536987	0.02021676	0.01519447	0.0217755	0.0137629	0.0370463	0.0224937	0.0346262	0.0282462	0.0368994	0.014139	0.0100525	0.000184021	0.0148176	0.0085788	0.0181373	0.00454799	0.021974	0.0109592	0.00259301	0.0172283	0.0213107	0.0295497	0.0476127	0.00164249	0.0215002	0.0418839	0.0268279	0.00776798	0.0274782	0.00429637	0.0621318	2.87668e-05	0.00134601	0.0239285	0.00949358	0.00506828	0.00414915	0.0112854	0.0699207	0.0675878	0.00342447	0.0097043	0.000309743	0.00256522	0.00118103	0.00359679	0.0203524	0.029423	0.034475	0.00945593	0.0149958	0.0173226	0.0560102	0.0222779	0.0162394	0.0751497	0.0187303	0.0019224	0.0135698	0.0136617	0.000617641	0.0606198	0.00108106	0.00794831	0.0181724	0.0279724	0.0245448	0.0092744	0.0435757	0.0346697	4.88102e-05	0.0268755	0.0851046	0.00853156	0.0069491	0.00459652	0.00634844	0.0768464	0.00240951	0.00638647	0.0101037	0.00137689	0.00584492	0.00021152	0.0149066	0.0287112	0.00770174	0.0166637	0.00532423	0.0160791	0.0107152	0.005813	0.00579755	0.0159889	0.000365379	0.0268636	0.00101603	0.0425423	0.0132562	0.00211147	0.0304997	0.00827644	0.00242664	0.000505608	0.0306637	0.0256341	0.0276252	0.0115618	0.0825124	0.00367541	0.00146078	0.00325916	0.000741452	0.00192609	0.0249693	0.0426815	0.00045841	0.0169614	0.00144288	0.0045235	0.0187907	0.0399242	0.032118	0.0145015	0.00358608	0.00346777	0.005619204	0.3060164	0	96.87312	0.717007	0.245281	0.777565	0.00195154	0.01358145	0.23098	0.594599	1.05252	2.1219	0.3116356	72.98343	1186.172	0.9819687
300	-57354.06	-57083.2	-270.8524	68.65802	0.941111	0.0869819	0.0849997	1.36385	1.575807	0.01288245	0.01770406	0.0216832	0.00271265	0.00342059	0.00119854	0.00573119	0.00411781	0.0109757	0.00910291	0.0225801	0.0128328	0.00838702	0.00279255	0.00216863	0.00809581	0.0039225	0.0090023	0.0102968	0.0084118	0.0142685	0.032616	0.0434382	6.54449e-05	0.0232294	0.0227318	0.00457418	0.0178234	0.00549282	0.0101384	0.00345845	0.0053559	0.0166616	0.0399348	0.00111094	0.00327476	0.0133149	0.00172919	0.038573	0.00653534	0.000300732	0.000763196	0.00548458	0.00931477	0.0333204	0.0141002	0.00820216	0.00664389	0.00252954	0.00735945	0.00489516	0.0200749	0.00419565	0.0340518	0.0493504	0.0108443	0.00634377	0.00215749	0.00424758	0.0164177	0.0175147	0.0259812	0.00340711	0.00846698	0.0129577	0.0113086	0.0218873	0.00881738	0.00131169	0.00972421	0.00179788	0.00894151	0.0878479	0.0160218	0.0110778	0.0148011	0.0043035	0.00310425	0.00322757	0.0196073	0.00344705	0.0232033	0.00125499	4.62993e-05	0.0119493	0.031601	0.0111438	0.0115986	0.00478283	0.00882691	0.00183768	0.0148006	0.00123822	0.00425351	0.00306696	0.00420166	0.0142874	0.0103198	0.00605382	0.00831193	0.00890236	0.00336795	0.00974908	0.000188254	0.00733204	0.0363351	0.00109639	0.0109743	0.0919345	0.000184528	0.007768	0.0093088	0.0391404	0.00480118	0.0281958	0.0170142	0.018126	0.00103686	0.0269068	0.0119583	0.00155182	0.00366804	0.00812191	0.0342791	0.00296362	0.0240023	0.01070771	0.2469329	0	78.5492	0.690183	0.284597	0.758036	0.02712	0.01287274	0.236799	0.600707	1.05458	2.10791	0.2576406	69.6837	1078.229	0.9584394
350	-57357.78	-57049.58	-308.2032	63.76768	0.822567	0.0939456	0.0844608	1.84594	1.894368	0.01923559	0.01661362	0.0216891	0.00954238	0.0224345	0.00185822	0.00418226	0.0054151	0.0031816	0.0432882	0.00942328	0.0627081	0.024405	0.0334724	0.00905007	0.0085198	0.0165079	0.0156421	0.00330477	0.0139738	0.00130345	0.00737741	0.0462832	0.000834433	0.0175824	0.0353379	0.0199781	0.015348	0.0147651	0.00784142	0.000227588	0.0430183	0.00467154	0.0010398	0.00298671	0.0013578	0.00277656	0.00081964	0.00461852	0.0298373	0.0150626	0.00224578	0.0162817	0.0103845	0.00128055	0.0382812	0.0187575	0.0161006	0.0309331	0.0215798	0.0142969	0.016511	0.0271545	0.0238239	0.0039871	0.00297743	0.0357719	0.00250297	0.024915	0.0106311	0.00773524	0.0193114	0.103912	0.0472047	8.07582e-05	0.0126915	0.0570944	0.00703334	0.0118568	0.0314884	0.00467482	0.00292286	0.0673702	0.00729279	0.00734916	0.0112243	0.000924581	0.0173225	0.00239471	0.00975074	0.010889	0.00451822	0.000419901	0.000588746	0.00962499	0.0193425	0.0124089	0.0187792	0.0454535	2.03463e-05	0.00332678	0.0270473	0.00252961	0.0118652	0.00940939	0.0275544	0.0116958	0.0257963	0.0165882	0.0323074	0.0213654	0.0187433	0.00819439	6.00161e-05	0.0430759	0.0103115	0.0171576	0.00997165	0.0913117	0.031658	0.0308808	0.0266053	0.0231542	0.00600235	0.00893542	0.03439	0.00854257	0.0275373	0.0119489	0.0171698	0.0511371	0.00879756	0.0414762	0.000945436	0.00921557	0.00145094	0.003090564	0.3384143	0	91.30298	0.720048	0.35663	0.768141	0.0313011	0.01102378	0.280331	0.643289	1.06711	2.00927	0.3415048	65.73681	1038.241	0.9909502
400	-57326.86	-57016.09	-310.7735	62.09456	0.612997	0.0986216	0.0842943	1.95268	1.978569	0.01904343	0.01689279	0.023691	0.0024213	0.00574987	0.00182021	0.0102269	0.0196024	0.00425519	0.00158619	0.000384929	0.0104118	0.0100474	0.00161483	0.00556548	0.00820185	0.0229398	0.0877975	0.0179322	0.0144108	0.00808515	0.020648	0.0585016	0.000973314	0.0195723	0.0406098	0.00516475	0.0106841	0.00843036	0.0424399	0.0221658	0.0356511	0.00544906	0.0114527	0.0244482	4.50398e-05	0.0196496	0.0267895	0.00118299	0.006619	0.0384516	0.0116946	0.0700769	0.00979921	0.0193352	0.0265576	0.0222016	0.00232883	0.00285761	0.00560498	0.00928438	0.0162364	0.0405362	0.00425227	0.019387	0.00336226	0.00472345	0.00295964	0.0305814	0.00133176	0.00861056	0.0127711	0.0113079	0.0338945	0.0137976	0.0464742	0.0242358	0.00644833	0.0022865	0.00724353	0.000658183	0.0138157	0.0803287	0.0100093	0.00593655	0.00618258	0.00222273	0.0407891	0.0024314	0.00808289	0.0725825	0.00443457	0.00353648	0.00012716	0.0448368	0.0250462	0.0204024	0.00880292	0.0183085	0.000243017	0.0224584	0.0617054	0.019242	0.0157618	0.00469187	0.03618	0.0159912	0.0191434	0.0224705	0.0366808	0.00265893	0.0011762	0.0403043	5.20151e-05	0.0642481	0.0163358	0.0160517	0.0265491	0.0633012	0.0109252	0.0270339	0.00981686	0.0192729	0.00539749	0.0213793	0.00473493	0.00678073	0.0183643	0.00763271	0.0388647	0.00432934	0.0102477	0.0490491	0.00103739	0.0388798	0.0344006	0.007025521	0.2300617	0	72.54234	0.702489	0.40273	0.756133	0.0616961	0.0203533	0.290703	0.652715	1.06944	1.98714	0.2370873	63.07753	1023.623	0.9703674
450	-57323.85	-56993.74	-330.1122	58.82385	0.443635	0.0843208	0.0866038	2.6146	1.747484	0.02550923	0.01715627	0.0220964	0.0346388	0.0104113	0.00449983	0.00703274	0.0369601	0.0304238	0.025611	0.0222858	0.00882926	0.00131846	0.0145904	0.0177276	0.00652698	0.0259098	0.00498278	0.0324144	0.00278033	0.0085116	0.0122269	0.0496897	0.000723902	0.018822	0.0341593	0.00747383	0.0202466	0.00805297	0.0444371	0.0311547	0.0455801	0.0408316	0.000175309	0.0116413	0.00182075	0.0424433	0.00626062	0.0444242	0.00296976	0.0251469	0.0155277	0.0131896	0.0288134	0.00709016	0.0110764	0.00296211	0.0224004	0.0268314	0.0146589	0.000871442	0.0167878	0.00216538	0.0174097	0.0555209	0.0208852	0.0145909	0.00230141	0.0218886	0.0137673	0.0709458	0.0341435	0.0822451	0.00180418	0.0168878	0.0154596	0.00312159	0.00433736	0.0291014	0.0590649	0.000808358	0.0134507	0.0712071	0.0293326	0.0178094	0.0442157	0.00295361	0.0117694	0.0408279	0.0437196	0.00765312	0.00937855	0.00295899	0.000251632	0.0853964	0.0215547	0.0154448	0.0621906	0.055796	0.00285622	0.0251244	0.003711	0.00817324	0.0461645	0.0492712	0.00674899	0.00673693	0.00512055	0.0104453	0.0124487	0.00756548	0.0245296	0.00412043	0.000137734	0.00947013	0.00149877	0.0260159	0.00343569	0.0927479	0.00748449	0.0163163	0.0377988	0.00488638	0.00929966	0.0297185	0.0275907	0.134734	0.0253633	0.00390334	0.0280181	0.0143484	0.014933	0.0242114	0.00236239	0.00666567	0.0475502	-0.005604763	0.264251	0	95.94445	0.659682	0.267719	0.754167	0.0640447	0.01506746	0.261149	0.625161	1.06217	2.05152	0.2586463	59.78998	999.3809	1.02167
