Iteration	Posterior	Likelihood	Prior	alpha[1]	alpha[2]	alpha[3]	alpha[4]	alpha_morpho	clock_morpho	clock_rates	diversification	extinction_rate	num_samp_anc	origin_time	pinvar[1]	pinvar[2]	pinvar[3]	pinvar[4]	psi	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	speciation_rate	turnover
0	-157804.2	-156906.9	-897.3468	0.318781	2.94977	0.674325	0.792469	2.583222	4.412048	2.944621	0.09836802	0.003007325	0	55.3138	0.334905	0.421624	0.140419	0.972488	0.1439826	0.354207	0.705486	1.07951	1.86079	0.1013753	0.02966525
50	-67057.71	-66437.16	-620.5545	0.311527	2.81492	0.664156	0.745537	1.082947	0.04915588	0.04293881	-0.006510554	0.2358067	9	58.14639	0.652553	0.793791	0.891583	0.118436	0.05325028	0.153201	0.500338	1.01249	2.33397	0.2292962	1.028394
100	-59763.35	-59151.25	-612.0917	0.313284	2.79242	0.652098	0.765355	1.46787	0.04322122	0.01682565	0.002815979	0.2441184	9	62.32343	0.631345	0.760394	0.874704	0.0117551	0.03991623	0.220316	0.58312	1.04848	2.14809	0.2469344	0.9885962
150	-59235.53	-58623.71	-611.8242	0.31775	2.76645	0.554075	0.786878	1.350576	0.03751994	0.01297553	-0.02240294	0.2762673	7	64.48139	0.596679	0.673791	0.868062	0.00442787	0.04640816	0.201289	0.561635	1.04029	2.19678	0.2538644	1.088248
200	-57780.47	-57173	-607.4708	0.317864	2.61302	0.559982	0.859739	1.393769	0.03296279	0.01160838	0.01347872	0.2555411	7	57.5059	0.508673	0.644616	0.856642	0.00124205	0.04647846	0.208436	0.569863	1.04352	2.17818	0.2690198	0.9498969
250	-57639.17	-57029.77	-609.4011	0.331429	2.39077	0.550837	0.998103	1.560155	0.03172459	0.01309806	0.01866681	0.2221471	7	59.8431	0.554126	0.666341	0.850005	0.000617203	0.04266174	0.234467	0.598272	1.05377	2.11349	0.2408139	0.9224845
300	-57553.34	-56945.96	-607.383	0.292605	2.10858	0.591594	1.08827	1.749221	0.02814682	0.01410316	0.006934104	0.2418048	8	63.24102	0.533546	0.669966	0.85353	0.0016636	0.03487113	0.261384	0.625389	1.06223	2.051	0.2487389	0.972123
350	-57489.47	-56885.87	-603.5972	0.24178	1.8694	0.533221	1.37504	1.59999	0.02830194	0.01298868	-0.005598721	0.2980915	7	64.83477	0.473931	0.663544	0.856955	0.00309375	0.03128543	0.240364	0.604396	1.05579	2.09945	0.2924928	1.019141
400	-57415.94	-56820.21	-595.7324	0.230025	1.48468	0.448433	1.56677	1.683209	0.03111017	0.01372609	0.04321648	0.208504	7	59.30998	0.452541	0.663498	0.859296	0.0100769	0.04442028	0.252288	0.616459	1.05959	2.07167	0.2517205	0.8283156
450	-57335.87	-56738.88	-596.9914	0.207231	0.978818	0.465206	1.91774	1.447187	0.02969115	0.01469157	0.02855335	0.2869396	7	59.72493	0.444093	0.669015	0.865438	0.0222692	0.03662649	0.217048	0.579523	1.04716	2.15627	0.3154929	0.9094961
500	-57246.97	-56647.42	-599.5478	0.201445	0.717679	0.414501	2.05497	1.576364	0.03032825	0.01554308	-0.02725976	0.2999245	6	60.08416	0.421846	0.679388	0.853819	0.0234931	0.03571225	0.236882	0.600793	1.05461	2.10772	0.2726647	1.099975
550	-57197.51	-56598.68	-598.8279	0.124556	0.516217	0.426502	2.21592	1.512839	0.03081678	0.01578231	-0.01208012	0.3892935	5	60.95934	0.26719	0.632711	0.84472	0.0366799	0.0382457	0.227299	0.59068	1.05117	2.13085	0.3772133	1.032025
600	-57177.95	-56574.55	-603.4027	0.133608	0.340699	0.389878	2.28086	1.632806	0.02723258	0.0161388	0.01062888	0.2979041	5	58.9641	0.316794	0.611917	0.856796	0.0404722	0.03481803	0.245128	0.609266	1.05735	2.08825	0.308533	0.9655503
650	-57144.03	-56548.46	-595.575	0.117225	0.228644	0.41566	2.41149	1.809549	0.03158908	0.01679732	-0.0021911	0.2882762	6	55.46333	0.303338	0.499641	0.852936	0.0548283	0.03884769	0.26943	0.633102	1.0644	2.03307	0.2860851	1.007659
700	-57164.41	-56566.62	-597.7874	0.134714	0.243954	0.46779	4.0479	1.61795	0.02968146	0.01621246	0.008796582	0.3327962	6	63.84829	0.289993	0.502823	0.843065	0.0570001	0.03466781	0.242982	0.60708	1.05666	2.09328	0.3415928	0.9742483
750	-57160.29	-56567.24	-593.0537	0.127177	0.179614	0.405493	3.04623	1.487179	0.03139419	0.01694371	-0.006196637	0.441006	5	62.24019	0.259737	0.447893	0.855879	0.0510982	0.02834801	0.223335	0.586408	1.04966	2.1406	0.4348094	1.014251
800	-57145.66	-56544.26	-601.4048	0.117553	0.139031	0.411783	2.7086	1.694952	0.0294548	0.01685988	0.02838627	0.2843603	5	62.7056	0.302575	0.382656	0.844392	0.0423485	0.02449703	0.253929	0.618088	1.06008	2.0679	0.3127465	0.9092355
850	-57155.17	-56551.94	-603.2299	0.128291	0.138501	0.457817	2.61051	1.362568	0.02932484	0.0158556	-0.007442633	0.2680196	5	62.77466	0.302813	0.376132	0.848329	0.0679155	0.03374871	0.20329	0.563959	1.04122	2.19153	0.260577	1.028562
900	-57143.96	-56540.97	-602.9827	0.125938	0.153602	0.393414	2.92235	2.174005	0.0317269	0.01621237	0.01587732	0.3033371	4	57.84878	0.28467	0.388407	0.843639	0.0591026	0.03068345	0.313197	0.672327	1.07379	1.94069	0.3192144	0.9502613
950	-57121.42	-56512.64	-608.7843	0.125525	0.127941	0.447607	2.63926	1.629652	0.02664682	0.0159219	0.01008871	0.3553184	3	62.42915	0.286261	0.357009	0.846117	0.0475733	0.02970106	0.244674	0.608805	1.05721	2.08931	0.3654071	0.9723905
1000	-57138.2	-56522.43	-615.7631	0.132318	0.126598	0.422949	2.58686	1.60707	0.02596966	0.01575574	-0.0007735048	0.3362361	3	56.71231	0.281738	0.364104	0.842859	0.0502842	0.03076509	0.241399	0.60546	1.05614	2.09701	0.3354626	1.002306
1050	-57122.69	-56508.55	-614.1471	0.123141	0.122179	0.482931	2.77533	1.774148	0.027776	0.0157645	-0.02177623	0.3108758	3	64.3151	0.277722	0.33531	0.851037	0.052081	0.02701099	0.264739	0.628626	1.06315	2.04348	0.2890996	1.075324
1100	-57130.86	-56508.41	-622.4443	0.118013	0.128857	0.428279	2.53012	1.956077	0.02431422	0.01575174	0.0008626182	0.3023142	2	55.57722	0.239857	0.377632	0.847748	0.0453508	0.03126885	0.287975	0.65026	1.06885	1.99291	0.3031768	0.9971547
1150	-57128.38	-56510.76	-617.6249	0.133124	0.124291	0.418269	3.32708	1.671105	0.02555224	0.01467607	-0.005567079	0.3045381	3	56.90136	0.277696	0.359049	0.856256	0.0533068	0.03167471	0.250586	0.614763	1.05907	2.07558	0.298971	1.018621
