Starting job 16333685 on c5-60 on Saga at Fri Dec 12 16:29:13 CET 2025


RevBayes version (1.1.1)
Build from  () on Fri May  5 01:48:14 PM CEST 2023

Visit the website www.RevBayes.com for more information about RevBayes.

RevBayes is free software released under the GPL license, version 3. Type 'license()' for details.

To quit RevBayes type 'quit()' or 'q()'.


> source("scripts/mcmc_CEFBDRP_Ranges_rhinos.Rev")
   Processing file "scripts/mcmc_CEFBDRP_Ranges_rhinos.Rev"
   Successfully read one character matrix from file 'data/rrna.nex'
   Successfully read one character matrix from file 'data/coding_1.nex'
   Successfully read one character matrix from file 'data/coding_2.nex'
   Successfully read one character matrix from file 'data/coding_3.nex'
   Successfully read one character matrix from file 'data/character_matrix_RB_rhinos.nex'
   Processing file "scripts/model_FBDRP_rhinos.Rev"
   Processing of file "scripts/model_FBDRP_rhinos.Rev" completed
   Processing file "scripts/model_UExp_rhinos.Rev"
   Processing of file "scripts/model_UExp_rhinos.Rev" completed
   Processing file "scripts/model_GTRG_rhinos.Rev"
   Processing of file "scripts/model_GTRG_rhinos.Rev" completed
   Processing file "scripts/model_Morph_rhinos.Rev"
   NOTE: setNumStatesPartition() partitions by the maximum observed state, not the total number of observed states.
   NOTE: setNumStatesPartition() partitions by the maximum observed state, not the total number of observed states.
   NOTE: setNumStatesPartition() partitions by the maximum observed state, not the total number of observed states.
   Processing of file "scripts/model_Morph_rhinos.Rev" completed

   Running MCMC simulation
   This simulation runs 1 independent replicate.
   The simulator uses 47 different moves in a random move schedule with 143 moves per iteration

Iter        |      Posterior   |     Likelihood   |          Prior   |    elapsed   |        ETA   |
1040        |       -51681.2   |       -51052.9   |       -628.288   |   00:11:24   |   54:37:03   |
1060        |       -51682.1   |       -51051.2   |       -630.884   |   00:11:38   |   54:40:49   |
1080        |       -51678.8   |         -51058   |       -620.753   |   00:11:51   |   54:39:49   |
1100        |       -51681.9   |       -51062.4   |       -619.522   |   00:12:05   |   54:43:22   |
1120        |       -51671.8   |       -51057.3   |       -614.534   |   00:12:19   |   54:46:47   |
1140        |       -51681.1   |       -51061.8   |       -619.336   |   00:12:33   |   54:50:04   |
1160        |       -51679.4   |       -51063.1   |       -616.295   |   00:12:46   |   54:48:57   |
1180        |       -51672.9   |       -51060.8   |       -612.075   |   00:13:00   |   54:52:05   |


Iter        |      Posterior   |     Likelihood   |          Prior   |    elapsed   |        ETA   |
----------------------------------------------------------------------------------------------------
1200        |       -51677.5   |       -51063.6   |        -613.87   |   00:13:13   |   54:50:57   |
1220        |         -51666   |       -51049.5   |       -616.584   |   00:13:26   |   54:49:50   |
1240        |       -51667.4   |       -51055.4   |       -611.971   |   00:13:39   |   54:48:46   |
1260        |       -51660.5   |         -51046   |       -614.418   |   00:13:53   |   54:51:40   |
1280        |       -51671.6   |       -51054.7   |       -616.965   |   00:14:06   |   54:50:35   |
1300        |       -51668.4   |         -51054   |       -614.396   |   00:14:20   |   54:53:21   |
1320        |         -51668   |       -51059.4   |       -608.526   |   00:14:33   |   54:52:16   |
1340        |       -51653.1   |       -51045.6   |       -607.519   |   00:14:47   |   54:54:55   |
1360        |       -51666.5   |       -51056.5   |       -609.923   |   00:15:00   |   54:53:49   |
1380        |       -51674.6   |       -51059.2   |       -615.378   |   00:15:13   |   54:52:45   |
1400        |       -51671.2   |       -51047.4   |       -623.835   |   00:15:27   |   54:55:15   |
1420        |       -51664.1   |       -51043.6   |       -620.495   |   00:15:41   |   54:57:41   |
1440        |       -51669.1   |       -51043.9   |       -625.241   |   00:15:55   |   55:00:03   |
1460        |         -51660   |       -51037.5   |       -622.563   |   00:16:09   |   55:02:20   |
1480        |       -51664.7   |       -51045.6   |       -619.137   |   00:16:22   |   55:01:12   |
1500        |       -51677.4   |       -51053.7   |       -623.775   |   00:16:36   |   55:03:24   |
1520        |       -51662.2   |       -51044.3   |       -617.844   |   00:16:50   |   55:05:32   |
1540        |       -51659.5   |       -51039.5   |       -619.972   |   00:17:04   |   55:07:36   |
1560        |       -51669.5   |       -51046.7   |       -622.739   |   00:17:18   |   55:09:37   |
1580        |       -51678.3   |         -51059   |       -619.243   |   00:17:31   |   55:08:25   |


Iter        |      Posterior   |     Likelihood   |          Prior   |    elapsed   |        ETA   |
----------------------------------------------------------------------------------------------------
1600        |       -51690.4   |       -51075.8   |       -614.616   |   00:17:45   |   55:10:22   |
1620        |       -51658.5   |         -51040   |       -618.511   |   00:17:58   |   55:09:11   |
1640        |       -51670.3   |         -51048   |       -622.216   |   00:18:12   |   55:11:04   |
1660        |       -51687.4   |       -51067.2   |       -620.284   |   00:18:26   |   55:12:53   |
1680        |       -51676.7   |       -51055.3   |       -621.378   |   00:18:40   |   55:14:40   |
1700        |       -51669.3   |       -51052.9   |       -616.402   |   00:18:53   |   55:13:28   |
1720        |       -51655.6   |       -51038.8   |       -616.799   |   00:19:07   |   55:15:11   |
1740        |       -51649.6   |       -51031.5   |       -618.168   |   00:19:20   |   55:14:00   |
1760        |       -51625.3   |       -51009.4   |       -615.889   |   00:19:34   |   55:15:39   |
1780        |         -51619   |       -50999.3   |       -619.698   |   00:19:46   |   55:11:41   |
1800        |       -51621.2   |       -51007.1   |       -614.114   |   00:20:00   |   55:13:20   |
1820        |       -51611.4   |       -50993.9   |       -617.443   |   00:20:13   |   55:12:12   |
1840        |       -51631.9   |       -51014.8   |       -617.042   |   00:20:27   |   55:13:47   |
1860        |       -51617.1   |       -51008.9   |       -608.192   |   00:20:41   |   55:15:20   |
1880        |       -51615.2   |       -51008.3   |       -606.876   |   00:20:54   |   55:14:12   |
1900        |       -51605.9   |       -50999.6   |       -606.267   |   00:21:07   |   55:13:05   |
1920        |       -51585.5   |       -50979.4   |       -606.094   |   00:21:21   |   55:14:35   |
1940        |       -51599.5   |         -50994   |       -605.512   |   00:21:35   |   55:16:02   |
1960        |       -51593.1   |       -50990.8   |       -602.232   |   00:21:49   |   55:17:28   |
1980        |       -51589.2   |       -50977.4   |       -611.801   |   00:22:03   |   55:18:51   |


Iter        |      Posterior   |     Likelihood   |          Prior   |    elapsed   |        ETA   |
----------------------------------------------------------------------------------------------------
2000        |       -51600.2   |       -50986.2   |       -613.999   |   00:22:17   |   55:20:13   |
2020        |       -51589.6   |       -50979.9   |       -609.716   |   00:22:30   |   55:19:05   |
2040        |       -51604.8   |         -50992   |       -612.857   |   00:22:43   |   55:17:58   |
2060        |       -51603.6   |       -50989.6   |       -613.904   |   00:22:57   |   55:19:16   |
2080        |       -51587.9   |       -50975.7   |        -612.12   |   00:23:11   |   55:20:34   |
2100        |       -51601.8   |       -50992.3   |       -609.455   |   00:23:24   |   55:19:27   |
2120        |       -51589.6   |       -50987.7   |       -601.909   |   00:23:37   |   55:18:21   |
2140        |       -51600.1   |       -50997.8   |       -602.251   |   00:23:50   |   55:17:17   |
2160        |       -51610.5   |       -51004.3   |       -606.216   |   00:24:04   |   55:18:31   |
2180        |         -51613   |       -50997.5   |        -615.54   |   00:24:17   |   55:17:27   |
2200        |       -51601.3   |       -50992.6   |       -608.705   |   00:24:31   |   55:18:39   |
2220        |       -51603.8   |       -50998.5   |       -605.301   |   00:24:44   |   55:17:36   |
2240        |       -51601.4   |         -50989   |       -612.334   |   00:24:58   |   55:18:47   |
2260        |       -51612.2   |       -51004.1   |       -608.042   |   00:25:12   |   55:19:55   |
2280        |       -51615.8   |       -51009.7   |       -606.072   |   00:25:26   |   55:21:03   |
2300        |         -51592   |       -50980.5   |       -611.472   |   00:25:39   |   55:20:00   |
2320        |       -51597.2   |       -50979.4   |       -617.782   |   00:25:53   |   55:21:05   |
2340        |       -51585.4   |       -50968.5   |       -616.835   |   00:26:07   |   55:22:10   |
2360        |       -51597.3   |       -50975.8   |       -621.498   |   00:26:20   |   55:21:07   |
2380        |       -51599.8   |       -50985.5   |       -614.214   |   00:26:34   |   55:22:10   |


Iter        |      Posterior   |     Likelihood   |          Prior   |    elapsed   |        ETA   |
----------------------------------------------------------------------------------------------------
2400        |       -51596.8   |       -50982.5   |       -614.372   |   00:26:47   |   55:21:08   |
2420        |       -51598.6   |       -50992.6   |       -606.072   |   00:27:01   |   55:22:09   |
2440        |         -51601   |       -50987.3   |       -613.636   |   00:27:14   |   55:21:07   |
2460        |       -51598.6   |         -50980   |       -618.583   |   00:27:28   |   55:22:07   |
2480        |       -51584.6   |       -50976.3   |       -608.371   |   00:27:41   |   55:21:06   |
2500        |       -51584.6   |       -50978.8   |       -605.788   |   00:27:55   |   55:22:05   |
2520        |         -51603   |       -50990.6   |       -612.448   |   00:28:08   |   55:21:04   |
2540        |       -51594.5   |       -50981.7   |       -612.776   |   00:28:22   |   55:22:01   |
2560        |       -51601.2   |       -50985.8   |       -615.427   |   00:28:35   |   55:21:01   |
2580        |       -51595.1   |       -50980.4   |        -614.66   |   00:28:48   |   55:20:02   |
2600        |       -51593.3   |       -50987.5   |       -605.811   |   00:29:02   |   55:20:58   |
2620        |       -51595.9   |       -50980.1   |       -615.812   |   00:29:16   |   55:21:52   |
2640        |         -51590   |       -50974.1   |       -615.929   |   00:29:30   |   55:22:46   |
2660        |       -51590.7   |         -50976   |        -614.63   |   00:29:43   |   55:21:47   |
2680        |       -51603.2   |       -50991.8   |        -611.42   |   00:29:57   |   55:22:39   |
2700        |       -51602.3   |       -50976.8   |       -625.459   |   00:30:11   |   55:23:31   |
2720        |       -51597.3   |       -50981.6   |       -615.685   |   00:30:25   |   55:24:21   |
2740        |       -51599.9   |       -50977.2   |       -622.667   |   00:30:38   |   55:23:22   |
2760        |       -51605.8   |       -50990.5   |       -615.317   |   00:30:52   |   55:24:12   |
2780        |         -51596   |       -50978.1   |       -617.807   |   00:31:07   |   55:26:47   |


