Iteration	Posterior	Likelihood	Prior	alpha[1]	alpha[2]	alpha[3]	alpha[4]	alpha_morpho	clock_morpho	clock_rates	diversification	extinction_rate	num_samp_anc	origin_time	pinvar[1]	pinvar[2]	pinvar[3]	pinvar[4]	psi	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	speciation_rate	turnover
0	-113890.6	-113153.7	-736.9062	0.500053	1.31795	0.228882	1.16122	0.891848	0.3530483	0.7833523	-0.09570708	0.1265113	0	56.4058	0.851726	0.422462	0.140786	0.268174	0.1101019	0.114902	0.441644	0.979482	2.46397	0.03080422	4.106947
50	-58269.83	-57657.87	-611.9691	0.491164	1.28637	0.232207	1.1503	1.447024	0.03500663	0.03428809	0.02389765	0.2483902	5	57.03036	0.665754	0.752979	0.820259	0.0217739	0.03239109	0.217022	0.579494	1.04715	2.15633	0.2722879	0.9122339
100	-57686.99	-57085.23	-601.762	0.479193	1.2232	0.232599	1.14464	1.908527	0.03256649	0.02432728	-0.00240245	0.3003539	4	58.81409	0.682708	0.724746	0.833512	0.00447984	0.03942222	0.282105	0.64492	1.06752	2.00545	0.2979515	1.008063
150	-57566.82	-56964.4	-602.4189	0.480733	1.14197	0.235603	1.22504	1.516568	0.0329809	0.02283268	0.00116381	0.4092104	3	62.03562	0.682427	0.709656	0.818231	0.00291195	0.02763199	0.227871	0.591291	1.05138	2.12946	0.4103742	0.997164
200	-57504.94	-56908.17	-596.774	0.470679	1.06092	0.236199	1.2328	1.633114	0.03342164	0.02058493	0.01003095	0.3678429	3	60.79464	0.671185	0.743215	0.810972	0.0012804	0.03234071	0.245173	0.609311	1.05737	2.08815	0.3778739	0.9734542
250	-57478.63	-56878.42	-600.2041	0.434835	1.01465	0.239274	1.31639	1.62274	0.02963288	0.02000506	0.0003806782	0.2796657	3	61.32851	0.667043	0.718553	0.82063	0.00787827	0.03281312	0.243676	0.607788	1.05688	2.09165	0.2800464	0.9986407
300	-57459.1	-56861.71	-597.3951	0.41278	0.930153	0.202003	1.37128	1.979106	0.02955787	0.02015003	0.02701957	0.306303	4	60.95706	0.636895	0.723048	0.815567	0.0117896	0.03192903	0.290768	0.652773	1.06946	1.987	0.3333226	0.9189387
350	-57445.9	-56846.83	-599.0702	0.394804	0.818053	0.207161	1.58974	1.87863	0.03125465	0.01793866	0.01891859	0.359462	4	62.17858	0.633956	0.700264	0.807738	0.00249064	0.03677877	0.278343	0.641454	1.06663	2.01357	0.3783806	0.9500011
400	-57346.98	-56742.23	-604.7486	0.339431	0.744143	0.204838	2.01796	1.871684	0.02741254	0.01809374	0.0201691	0.5065214	4	64.07282	0.526151	0.715914	0.780113	0.0294986	0.02558218	0.277461	0.640636	1.06642	2.01548	0.5266905	0.961706
450	-57316.71	-56715.64	-601.0701	0.256945	0.619269	0.167742	2.32034	1.516034	0.02974205	0.01812743	0.0001635267	0.4026587	3	64.81392	0.471525	0.705406	0.777892	0.0528991	0.02784203	0.227789	0.591204	1.05135	2.12966	0.4028222	0.999594
500	-57315.67	-56713.82	-601.8423	0.247711	0.56303	0.134387	2.31801	1.839507	0.02875268	0.01832946	-0.0004706297	0.5979774	3	56.38221	0.478124	0.699912	0.749071	0.0431971	0.02760549	0.273333	0.636785	1.0654	2.02448	0.5975068	1.000788
