Starting job 16490075 on c5-60 on Saga at Wed Dec 24 13:13:30 CET 2025


RevBayes version (1.1.1)
Build from  () on Fri May  5 01:48:14 PM CEST 2023

Visit the website www.RevBayes.com for more information about RevBayes.

RevBayes is free software released under the GPL license, version 3. Type 'license()' for details.

To quit RevBayes type 'quit()' or 'q()'.


> source("scripts/mcmc_CEFBDRP_Ranges_rhinos.Rev")
   Processing file "scripts/mcmc_CEFBDRP_Ranges_rhinos.Rev"
   Successfully read one character matrix from file 'data/rrna.nex'
   Successfully read one character matrix from file 'data/coding_1.nex'
   Successfully read one character matrix from file 'data/coding_2.nex'
   Successfully read one character matrix from file 'data/coding_3.nex'
   Successfully read one character matrix from file 'data/character_matrix_RB_rhinos.nex'
   Processing file "scripts/model_FBDRP_rhinos.Rev"
   Processing of file "scripts/model_FBDRP_rhinos.Rev" completed
   Processing file "scripts/model_UExp_rhinos.Rev"
   Processing of file "scripts/model_UExp_rhinos.Rev" completed
   Processing file "scripts/model_GTRG_rhinos.Rev"
   Processing of file "scripts/model_GTRG_rhinos.Rev" completed
   Processing file "scripts/model_Morph_rhinos.Rev"
   NOTE: setNumStatesPartition() partitions by the maximum observed state, not the total number of observed states.
   NOTE: setNumStatesPartition() partitions by the maximum observed state, not the total number of observed states.
   NOTE: setNumStatesPartition() partitions by the maximum observed state, not the total number of observed states.
   Processing of file "scripts/model_Morph_rhinos.Rev" completed

   Running MCMC simulation
   This simulation runs 1 independent replicate.
   The simulator uses 47 different moves in a random move schedule with 143 moves per iteration

Iter        |      Posterior   |     Likelihood   |          Prior   |    elapsed   |        ETA   |
2600        |         -57099   |       -56502.6   |        -596.37   |   00:31:48   |   162:32:48   |
2650        |       -57108.3   |       -56506.5   |       -601.859   |   00:32:25   |   162:33:44   |
2700        |       -57105.8   |       -56498.3   |       -607.507   |   00:33:01   |   162:29:41   |
2750        |       -57103.4   |       -56495.1   |       -608.285   |   00:33:37   |   162:25:46   |
2800        |       -57092.7   |       -56483.3   |       -609.461   |   00:34:14   |   162:26:43   |
2850        |       -57103.7   |       -56494.7   |       -609.001   |   00:34:51   |   162:27:36   |
2900        |         -57095   |       -56488.8   |       -606.199   |   00:35:26   |   162:19:16   |
2950        |       -57097.5   |       -56501.6   |       -595.916   |   00:36:02   |   162:15:43   |


Iter        |      Posterior   |     Likelihood   |          Prior   |    elapsed   |        ETA   |
----------------------------------------------------------------------------------------------------
3000        |         -57110   |       -56514.6   |       -595.375   |   00:36:39   |   162:16:41   |
3050        |       -57114.9   |       -56517.4   |        -597.54   |   00:37:16   |   162:17:35   |
3100        |       -57087.5   |       -56491.6   |       -595.913   |   00:37:52   |   162:14:10   |
3150        |       -57105.4   |       -56501.4   |       -604.008   |   00:38:29   |   162:15:03   |
3200        |       -57105.6   |       -56497.2   |       -608.391   |   00:39:05   |   162:11:45   |
3250        |       -57099.4   |       -56493.3   |       -606.097   |   00:39:40   |   162:04:26   |
3300        |       -57113.2   |       -56501.6   |       -611.665   |   00:40:17   |   162:05:22   |
3350        |       -57110.7   |       -56502.5   |       -608.153   |   00:40:53   |   162:02:18   |
3400        |       -57106.6   |       -56497.3   |       -609.255   |   00:41:30   |   162:03:12   |
3450        |       -57119.7   |       -56508.8   |       -610.924   |   00:42:07   |   162:04:04   |
3500        |       -57116.3   |       -56500.7   |       -615.644   |   00:42:43   |   162:01:05   |
3550        |       -57121.4   |       -56502.1   |       -619.296   |   00:43:19   |   161:58:11   |
3600        |       -57111.9   |       -56496.7   |       -615.238   |   00:43:55   |   161:55:20   |
3650        |       -57131.6   |       -56515.3   |       -616.324   |   00:44:31   |   161:52:33   |
3700        |       -57117.2   |       -56503.2   |       -614.095   |   00:45:07   |   161:49:50   |
3750        |       -57121.2   |       -56518.4   |       -602.721   |   00:45:43   |   161:47:10   |
3800        |       -57100.7   |       -56504.5   |       -596.163   |   00:46:19   |   161:44:33   |
3850        |       -57098.9   |       -56497.9   |       -601.006   |   00:46:56   |   161:45:26   |
3900        |       -57107.2   |       -56504.7   |       -602.455   |   00:47:33   |   161:46:17   |
3950        |       -57108.5   |       -56505.2   |       -603.285   |   00:48:11   |   161:50:27   |


Iter        |      Posterior   |     Likelihood   |          Prior   |    elapsed   |        ETA   |
----------------------------------------------------------------------------------------------------
4000        |         -57115   |       -56510.1   |        -604.94   |   00:48:48   |   161:51:12   |
4050        |       -57109.5   |       -56508.4   |       -601.131   |   00:49:24   |   161:48:37   |
4100        |       -57100.7   |         -56496   |       -604.697   |   00:50:01   |   161:49:19   |
4150        |       -57109.2   |         -56512   |       -597.217   |   00:50:37   |   161:46:48   |
4200        |       -57107.2   |       -56510.4   |       -596.732   |   00:51:13   |   161:44:20   |
4250        |         -57116   |       -56521.4   |       -594.652   |   00:51:50   |   161:45:01   |
4300        |       -57100.9   |         -56495   |       -605.992   |   00:52:25   |   161:39:31   |
4350        |       -57101.3   |       -56493.2   |        -608.18   |   00:53:02   |   161:40:13   |
4400        |       -57113.7   |       -56501.2   |       -612.511   |   00:53:39   |   161:40:53   |
4450        |       -57106.8   |       -56496.9   |       -609.841   |   00:54:16   |   161:41:32   |
4500        |         -57087   |       -56484.1   |       -602.823   |   00:54:53   |   161:42:09   |
4550        |       -57101.8   |       -56496.6   |       -605.178   |   00:55:30   |   161:42:44   |
4600        |       -57107.4   |         -56502   |       -605.423   |   00:56:06   |   161:40:25   |
4650        |       -57105.1   |       -56497.3   |       -607.842   |   00:56:42   |   161:38:08   |
