Iteration	Posterior	Likelihood	Prior	alpha[1]	alpha[2]	alpha[3]	alpha[4]	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	part_rate[1]	part_rate[2]	part_rate[3]	part_rate[4]	part_rate_mult[1]	part_rate_mult[2]	part_rate_mult[3]	part_rate_mult[4]	pinvar[1]	pinvar[2]	pinvar[3]	pinvar[4]	TL
750	-42204.84	-42153.16	-51.67881	5.72341e+06	5.95729e+07	5.04718e+07	8.90363e+07	0.0410432	0.0438153	0.0717304	0.258299	0.0519527	0.0348375	0.0400189	0.0502961	0.0696067	0.0116034	0.0412606	0.031814	0.0453	0.551056	0.435814	0.1377	2.69322	0.0910947	0.121257	0.0383123	0.749337	0.70685	0.734967	0.870599	0.0850388	0.7915774
800	-42202.29	-42148.66	-53.62645	8.69768e+07	9.05567e+07	2.56299e+06	4.84298e+07	0.0428453	0.0505642	0.0717219	0.268743	0.0511143	0.035234	0.0419872	0.0498624	0.0740949	0.0111654	0.0519087	0.027955	0.0427566	0.522636	0.415477	0.12425	2.7439	0.0863966	0.115598	0.0345702	0.763435	0.712677	0.765927	0.869903	0.0817798	0.8199529
850	-42198.08	-42148.22	-49.85658	5.47888e+06	7.32908e+07	1.97544e+06	9.58856e+07	0.0453425	0.0444363	0.0656756	0.23981	0.0484473	0.0377948	0.0376148	0.0462013	0.0757979	0.0101968	0.0525305	0.0259152	0.046138	0.595991	0.44854	0.151875	2.63962	0.0985229	0.124797	0.0422562	0.734423	0.691493	0.733096	0.884846	0.085512	0.775901
900	-42195.75	-42143.99	-51.75816	7.62572e+07	8.58006e+07	1.95595e+07	9.16803e+07	0.0421942	0.0448747	0.0692633	0.245789	0.0471842	0.0359849	0.0431942	0.0480304	0.0798431	0.00547491	0.0496981	0.0285717	0.0476309	0.526989	0.465209	0.133686	2.68214	0.0871162	0.129435	0.0371956	0.746253	0.720297	0.725695	0.864415	0.0889609	0.7877333
950	-42204.57	-42155.3	-49.27249	5.62377e+07	3.69362e+07	3.20365e+07	5.372e+07	0.0385511	0.0483218	0.0694712	0.226281	0.0425946	0.0401809	0.0349742	0.0535165	0.0592916	0.0129557	0.0454257	0.034192	0.0404151	0.527475	0.485081	0.16433	2.63134	0.0871964	0.134964	0.0457216	0.732118	0.721732	0.739226	0.875561	0.075187	0.7461717
1000	-42197.85	-42145.57	-52.27822	7.40797e+07	9.61745e+07	8.63434e+07	4.01231e+07	0.0462656	0.0425536	0.0704714	0.229011	0.0486688	0.0417657	0.0366697	0.0520297	0.0718336	0.00881314	0.0487054	0.0321765	0.0383746	0.512596	0.439138	0.132579	2.71787	0.0847369	0.122182	0.0368876	0.756194	0.689309	0.737557	0.847413	0.0627132	0.7673387
1050	-42199.65	-42147.95	-51.69966	5.62438e+07	1.36218e+07	4.85299e+07	6.49085e+07	0.0465589	0.0438653	0.0612469	0.227692	0.0511508	0.0364348	0.0365681	0.0543263	0.0656963	0.00592283	0.0554099	0.0332523	0.0522745	0.529018	0.431831	0.140311	2.70769	0.0874516	0.120149	0.0390389	0.753361	0.711226	0.743845	0.868182	0.0679952	0.7703988
1100	-42195.3	-42143.79	-51.51702	9.18977e+07	2.65412e+07	1.65018e+07	2.68065e+07	0.0428539	0.0458353	0.0764926	0.242353	0.0477365	0.0379369	0.0450359	0.0516521	0.0784392	0.00753396	0.0409217	0.0277092	0.0543968	0.534573	0.462331	0.138229	2.67597	0.0883698	0.128635	0.0384596	0.744536	0.708793	0.738785	0.876791	0.0855395	0.7988969
1150	-42203.9	-42151.68	-52.22424	8.74285e+07	6.98415e+06	9.13833e+07	8.47062e+07	0.0443633	0.0494034	0.0700749	0.239291	0.0442381	0.0395104	0.0410316	0.052178	0.0735449	0.00968363	0.0533856	0.026269	0.0498756	0.540899	0.469472	0.123351	2.67995	0.0894157	0.130621	0.0343201	0.745643	0.72068	0.718703	0.858145	0.0849867	0.7928499
1200	-42206.01	-42155.7	-50.31525	8.70942e+07	6.07158e+07	7.13212e+07	9.96038e+07	0.0398708	0.0470468	0.06311	0.210668	0.0500979	0.0368428	0.0393736	0.0449941	0.0668583	0.00673223	0.0386897	0.0299273	0.048354	0.566273	0.438647	0.144479	2.67457	0.0936101	0.122045	0.0401984	0.744147	0.683011	0.744977	0.884698	0.0742339	0.7225658
