Iteration	Posterior	Likelihood	Prior	alpha[1]	alpha[2]	alpha[3]	alpha[4]	alpha_morpho	clock_morpho	clock_rates	diversification	extinction_rate	num_samp_anc	origin_time	pinvar[1]	pinvar[2]	pinvar[3]	pinvar[4]	psi	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	speciation_rate	turnover
220	-51966.59	-51283.9	-682.6914	0.0448709	0.808132	0.401036	2.3654	2.41799	0.01658292	0.01140371	-0.003974681	0.3958491	0	60.72593	0.000640352	0.687169	0.883207	0.0265993	0.012265	0.338541	0.693186	1.07763	1.89064	0.3918744	1.010143
230	-51929.95	-51247.78	-682.1663	0.0470143	0.827561	0.403127	2.3315	2.679331	0.01681959	0.01171565	0.01040365	0.4268661	0	60.02912	0.000640352	0.685124	0.864839	0.0625226	0.01313603	0.362825	0.712071	1.0804	1.8447	0.4372698	0.9762077
240	-51923.09	-51240.19	-682.8991	0.0490476	0.81626	0.401982	2.35649	1.925559	0.01544551	0.01119233	0.003383927	0.412783	0	64.75201	0.00274211	0.685124	0.864839	0.0270176	0.01591283	0.284224	0.646857	1.06801	2.00091	0.4161669	0.9918688
250	-51901.27	-51220.95	-680.3107	0.0495941	0.763179	0.428967	2.49797	2.059791	0.01686422	0.01197477	0.01194019	0.424306	0	58.75641	0.0300353	0.679405	0.87235	0.0360417	0.01413075	0.300309	0.661225	1.07142	1.96705	0.4362461	0.9726297
260	-51895.64	-51206.42	-689.2207	0.0506412	0.75666	0.435757	2.52382	2.110263	0.01668907	0.01254237	0.002600164	0.4257017	0	57.82072	0.0145125	0.690921	0.875471	0.0518213	0.0132314	0.306091	0.666249	1.07252	1.95514	0.4283018	0.9939291
270	-51858.51	-51181.08	-677.4286	0.052821	0.759216	0.437773	2.55858	2.266757	0.0171683	0.01289505	6.51685e-05	0.430575	1	62.13443	0.011324	0.693594	0.875471	0.0495675	0.01259946	0.323166	0.68068	1.07543	1.92073	0.4306401	0.9998487
280	-51836.17	-51162.14	-674.0278	0.0540111	0.731485	0.435724	2.55894	2.105539	0.01768943	0.01270258	0.004629986	0.3987384	0	57.75207	0.00169057	0.696637	0.873132	0.0495343	0.02014365	0.305556	0.665787	1.07242	1.95624	0.4033684	0.9885217
290	-51823	-51152.74	-670.2625	0.0562137	0.730272	0.428361	2.70827	1.908382	0.01780849	0.0135303	0.01348841	0.3727386	0	59.93622	0.00169057	0.685549	0.873704	0.0360724	0.01530187	0.282087	0.644904	1.06752	2.00549	0.386227	0.9650765
300	-51828.5	-51154.83	-673.6603	0.0570983	0.716135	0.419469	2.62171	2.085528	0.0174731	0.01364107	0.0232218	0.3044207	0	56.3081	0.0273255	0.678078	0.876133	0.0546832	0.01819618	0.303275	0.663811	1.07199	1.96092	0.3276425	0.9291246
310	-51817.81	-51152.12	-665.6837	0.0576728	0.681527	0.442259	2.30406	2.093981	0.01851458	0.01426879	0.01353137	0.2810398	0	63.31189	0.0252438	0.694747	0.88523	0.0368473	0.02046204	0.304241	0.664649	1.07217	1.95894	0.2945712	0.9540642
320	-51822.93	-51152.87	-670.0585	0.0632056	0.670191	0.444214	2.30463	1.722377	0.01811407	0.01429062	0.02266927	0.251184	0	62.0083	0.0254199	0.674861	0.879924	0.0490618	0.02073871	0.257723	0.621822	1.06119	2.05926	0.2738533	0.9172211
330	-51791.41	-51125.28	-666.124	0.0694386	0.663381	0.399606	2.26566	2.274364	0.01639156	0.0141778	0.006881207	0.2248739	0	55.78097	0.0085266	0.691656	0.866814	0.0490618	0.02404613	0.323964	0.681341	1.07555	1.91914	0.2317551	0.9703083
