Iteration	Posterior	Likelihood	Prior	alpha_morpho	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	TL
620	-7533.194	-7437.46	-95.7345	2.522881	0.348615	0.701145	1.07888	1.87136	14.88342
630	-7532.529	-7435.65	-96.87873	2.102657	0.305228	0.665504	1.07236	1.95691	15.03987
640	-7527.852	-7448.609	-79.24258	1.619556	0.243215	0.607318	1.05673	2.09273	13.32456
650	-7533.163	-7435.494	-97.66929	2.302966	0.326943	0.683794	1.076	1.91326	15.09889
660	-7526.364	-7430.584	-95.77976	2.063018	0.300683	0.661552	1.07149	1.96628	14.93393
670	-7532.57	-7434.663	-97.90716	1.888086	0.279539	0.64256	1.06692	2.01098	15.16417
680	-7536.004	-7444.924	-91.08074	1.776564	0.265062	0.628936	1.06324	2.04276	14.49268
690	-7529.186	-7436.172	-93.01363	1.905672	0.281749	0.644593	1.06744	2.00622	14.67305
700	-7535.922	-7443.606	-92.31581	2.078073	0.30242	0.663067	1.07183	1.96269	14.58603
710	-7537.97	-7442.971	-94.99876	1.691712	0.253477	0.61764	1.05994	2.06894	14.89296
720	-7547.348	-7450.176	-97.17151	1.91004	0.282294	0.645093	1.06757	2.00505	15.08841
730	-7540.519	-7448.171	-92.34807	2.059355	0.300258	0.66118	1.07141	1.96715	14.59113
740	-7532.553	-7432.151	-100.4022	1.60819	0.241562	0.605627	1.05619	2.09662	15.44166
750	-7530.037	-7440.486	-89.55064	2.198157	0.315834	0.674556	1.07424	1.93537	14.29751
760	-7556.398	-7455.278	-101.1199	1.974111	0.290165	0.652232	1.06933	1.98828	15.47684
770	-7537.231	-7447.397	-89.83376	2.003274	0.293665	0.655361	1.07007	1.9809	14.34531
780	-7556.056	-7448.344	-107.7119	2.003274	0.293665	0.655361	1.07007	1.9809	16.13313
790	-7518.678	-7440.908	-77.7704	1.845733	0.274137	0.637538	1.0656	2.02272	13.15473
800	-7537.236	-7445.124	-92.11226	1.952271	0.28751	0.64984	1.06875	1.9939	14.57826
810	-7534.709	-7443.318	-91.39116	2.252056	0.321614	0.679393	1.07518	1.92381	14.47617
820	-7535.446	-7443.072	-92.37395	1.535391	0.230738	0.594343	1.05243	2.12248	14.64611
830	-7520.469	-7424.449	-96.02004	2.248951	0.321285	0.679119	1.07513	1.92446	14.93937
840	-7509.988	-7429.669	-80.31871	1.901433	0.281218	0.644106	1.06732	2.00736	13.40399
850	-7502.641	-7422.589	-80.05179	1.859284	0.275878	0.639164	1.06603	2.01892	13.38151
860	-7527.378	-7430.881	-96.4964	2.143132	0.309782	0.669419	1.07319	1.94761	14.99758
870	-7528.948	-7434.078	-94.87001	1.624626	0.243948	0.608066	1.05697	2.09101	14.8868
880	-7541.836	-7443.5	-98.33603	1.947421	0.286916	0.649303	1.06862	1.99516	15.20112
890	-7559.391	-7452.558	-106.8335	1.864022	0.276484	0.639729	1.06618	2.01761	16.05921
900	-7544.827	-7453.33	-91.49652	2.321292	0.328831	0.685341	1.07628	1.90954	14.47978
910	-7525.48	-7434.95	-90.52984	2.161663	0.311838	0.671173	1.07355	1.94344	14.39908
920	-7543.455	-7444.502	-98.95263	2.107383	0.305765	0.665967	1.07246	1.95581	15.24678
930	-7540.658	-7445.707	-94.95082	2.073301	0.30187	0.662589	1.07172	1.96382	14.85001
940	-7555.182	-7448.428	-106.7539	2.383735	0.335149	0.690465	1.07718	1.89721	15.99928
950	-7529.432	-7439.103	-90.32948	1.996939	0.292909	0.654688	1.06991	1.98249	14.39551
960	-7537.947	-7441.74	-96.20676	1.803316	0.26861	0.632324	1.06419	2.03488	15.0026
970	-7539.256	-7438.301	-100.9556	2.001205	0.293418	0.655142	1.07002	1.98142	15.4577
980	-7519.797	-7428.908	-90.88951	1.951773	0.287449	0.649785	1.06873	1.99403	14.45603
990	-7522.631	-7439.83	-82.80038	2.080896	0.302744	0.663349	1.07189	1.96202	13.63421
1000	-7526.871	-7437.856	-89.0146	1.731893	0.259027	0.623097	1.06157	2.05631	14.29053
1010	-7548.102	-7452.252	-95.85022	2.110463	0.306114	0.666269	1.07252	1.95509	14.93623
1020	-7546.125	-7446.525	-99.60021	1.896791	0.280635	0.64357	1.06718	2.00862	15.3326
1030	-7548.415	-7453.402	-95.01279	2.012512	0.294764	0.656338	1.0703	1.9786	14.86229
1040	-7524.663	-7438.582	-86.08109	2.160096	0.311665	0.671025	1.07352	1.94379	13.95436
1050	-7528.984	-7432.525	-96.45897	2.12097	0.3073	0.66729	1.07274	1.95267	14.99606
1060	-7534.903	-7443.368	-91.53513	2.297071	0.326332	0.683293	1.07591	1.91446	14.48606
1070	-7532.631	-7436.13	-96.50082	1.896299	0.280573	0.643513	1.06716	2.00875	15.02271
1080	-7535.988	-7432.936	-103.0523	2.446586	0.341333	0.69541	1.07799	1.88526	15.62283
1090	-7530.065	-7431.225	-98.83954	1.668173	0.250172	0.614349	1.05894	2.07654	15.2794
