Iteration	Posterior	Likelihood	Prior	age_morphometrics	alpha[1]	alpha[2]	alpha[3]	alpha[4]	alpha_morpho	branch_rates_mean	clock_morpho	clock_rates[1]	clock_rates[2]	clock_rates[3]	clock_rates[4]	clock_rates[5]	clock_rates[6]	clock_rates[7]	clock_rates[8]	clock_rates[9]	clock_rates[10]	clock_rates[11]	clock_rates[12]	clock_rates[13]	clock_rates[14]	clock_rates[15]	clock_rates[16]	clock_rates[17]	clock_rates[18]	clock_rates[19]	clock_rates[20]	clock_rates[21]	clock_rates[22]	clock_rates[23]	clock_rates[24]	clock_rates[25]	clock_rates[26]	clock_rates[27]	clock_rates[28]	clock_rates[29]	clock_rates[30]	clock_rates[31]	clock_rates[32]	clock_rates[33]	clock_rates[34]	clock_rates[35]	clock_rates[36]	clock_rates[37]	clock_rates[38]	clock_rates[39]	clock_rates[40]	clock_rates[41]	clock_rates[42]	clock_rates[43]	clock_rates[44]	clock_rates[45]	clock_rates[46]	clock_rates[47]	clock_rates[48]	clock_rates[49]	clock_rates[50]	clock_rates[51]	clock_rates[52]	clock_rates[53]	clock_rates[54]	clock_rates[55]	clock_rates[56]	clock_rates[57]	clock_rates[58]	clock_rates[59]	clock_rates[60]	clock_rates[61]	clock_rates[62]	clock_rates[63]	clock_rates[64]	clock_rates[65]	clock_rates[66]	clock_rates[67]	clock_rates[68]	clock_rates[69]	clock_rates[70]	clock_rates[71]	clock_rates[72]	clock_rates[73]	clock_rates[74]	clock_rates[75]	clock_rates[76]	clock_rates[77]	clock_rates[78]	clock_rates[79]	clock_rates[80]	clock_rates[81]	clock_rates[82]	clock_rates[83]	clock_rates[84]	clock_rates[85]	clock_rates[86]	clock_rates[87]	clock_rates[88]	clock_rates[89]	clock_rates[90]	clock_rates[91]	clock_rates[92]	clock_rates[93]	clock_rates[94]	clock_rates[95]	clock_rates[96]	clock_rates[97]	clock_rates[98]	clock_rates[99]	clock_rates[100]	clock_rates[101]	clock_rates[102]	clock_rates[103]	clock_rates[104]	clock_rates[105]	clock_rates[106]	clock_rates[107]	clock_rates[108]	clock_rates[109]	clock_rates[110]	clock_rates[111]	clock_rates[112]	clock_rates[113]	clock_rates[114]	clock_rates[115]	clock_rates[116]	clock_rates[117]	clock_rates[118]	clock_rates[119]	clock_rates[120]	clock_rates[121]	clock_rates[122]	clock_rates[123]	clock_rates[124]	diversification	extinction_rate	num_samp_anc	origin_time	pinvar[1]	pinvar[2]	pinvar[3]	pinvar[4]	psi	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	speciation_rate	TH	TL	turnover
0	-86954.39	-86566.16	-388.2248	87.80483	0.234616	1.60347	0.152939	0.405703	0.639421	0.01906264	0.2065894	0.00595692	0.00678748	0.00663799	0.000402446	0.0279465	0.00189013	0.00775572	0.00276482	0.0143867	0.0425536	0.0170167	0.0386388	0.018326	0.00715062	0.0323969	0.0230432	0.0150761	0.0037118	0.0020998	0.0118234	0.0193375	0.0645119	0.0687088	0.000541019	0.00597487	0.000484759	0.00421146	0.00446182	0.00913078	0.0279267	0.00457348	0.0296887	0.00614814	0.00303102	0.0114425	0.00710872	0.0128319	0.00283506	0.0568099	0.0189637	0.0695072	0.00135208	0.0280602	0.00917205	0.00599304	0.0112475	0.00546239	0.0187166	0.0244023	0.0107637	0.0102152	0.00749408	0.00238052	0.0160244	0.0123769	0.0232756	0.0272588	0.019993	0.00301228	0.0282823	0.00952895	0.00708676	0.000264163	0.00926001	0.00238226	0.00117665	0.0154975	0.000668509	0.00156784	0.00683441	0.00427021	0.00188701	0.00671844	0.017264	0.0035055	0.00463872	0.0148018	0.0375546	0.00965593	0.0298715	0.00381238	0.00160713	0.00149983	0.0362521	0.0134124	0.00330795	0.0162003	0.00530715	0.00380715	0.00666688	0.00704599	0.0210022	0.000509212	0.0134901	0.0251487	0.000786646	0.014627	8.83198e-05	0.0246525	0.0411121	0.0305801	0.00301116	0.0198755	0.0387763	0.00118029	0.00837167	0.0173836	0.00762685	0.0112956	0.0178444	0.017754	0.0245796	0.0152941	0.0225381	0.00761918	0.011647	0.0105591	0.00284895	0.0365376	0.00325251	0.0273486	0.0234695	0.00133276	0.084297	0.02822682	0.04685949	0	88.65024	0.43807	0.98691	0.039755	0.533253	0.04262955	0.0613272	0.333488	0.900171	2.70501	0.07508631	88.24159	1596.711	0.624075
50	-58096.74	-57732.01	-364.7306	81.83551	0.235017	1.55151	0.155887	0.420132	1.129457	0.01530233	0.01306569	0.0180309	0.0023292	0.0044019	0.000444404	0.0271554	0.0201631	0.00237324	0.0384351	0.00913527	0.00701574	0.0437202	0.00565618	0.0170207	0.0440219	0.00557392	0.0157633	0.0122731	0.000359122	0.00370979	0.00336258	0.025178	0.00578936	0.0275152	0.000933671	0.00519668	0.000150754	0.00661757	0.00622789	0.0042854	0.00607531	0.00481334	0.0091383	0.00311985	0.000385672	0.00604331	0.00190417	0.0465816	0.000528772	0.00301858	0.00368901	0.0134845	0.000910085	0.0108534	0.00933578	0.00845624	0.0115958	0.0103535	0.0294727	0.00997485	0.0125556	0.00991216	0.000527114	0.00431942	0.00978374	0.00862203	0.020443	0.0109283	0.00855416	0.0137365	0.0430728	0.00531612	0.00397014	0.000217557	0.0078142	0.00878588	0.00127442	0.0152238	4.67809e-05	0.0119922	0.015599	0.0075211	0.063221	0.0133497	0.00629515	0.00341931	0.0139788	0.0272744	0.035719	0.00535644	0.0252417	0.000587789	0.00683425	0.000491323	0.0365039	0.045866	0.00971079	0.0129356	0.0127475	0.0091696	0.00362418	0.0168752	0.00772676	0.000106248	0.0354526	0.00297612	0.0112044	0.00841129	0.0107543	0.0175065	0.00680916	0.0021595	0.00378309	0.069807	0.029434	0.00340835	0.0232467	0.00212189	0.0033736	0.00662992	0.0117103	0.040254	0.0205457	0.0197298	0.0049033	0.0150125	0.000501289	0.00087785	0.0190588	0.0972954	0.0227368	0.0230967	0.0226613	0.0012037	0.030518	-0.007754375	0.1331474	1	90.68732	0.543712	0.663648	0.826826	0.0195084	0.01280687	0.162037	0.512481	1.01853	2.30695	0.125393	84.31024	1867.092	1.061841
100	-57641.66	-57253.95	-387.7045	85.85334	0.238375	1.49877	0.158606	0.433452	1.503365	0.02009076	0.01007958	0.0171152	0.00505072	0.0180449	0.000716645	0.0129123	0.0105376	0.0197127	0.0305823	0.0112113	0.00169174	0.0119119	0.0509442	0.0730243	0.0105206	0.0281414	0.00236963	0.0537835	0.000101427	0.010108	0.040594	0.021571	0.00707622	0.00335177	0.0325143	0.0137606	0.00018171	0.00583847	0.0197852	0.00472478	0.0058512	0.00253088	0.00318422	0.00978964	0.000610225	0.00426201	0.0272762	0.0243749	0.000751182	0.036633	0.00332135	0.0166816	0.0018571	0.0127311	0.0129317	0.0261308	0.0236572	0.00497296	0.0320669	0.00728747	0.0188159	0.0102293	0.00159415	0.00268111	0.0238075	0.0117552	0.0287468	0.0363264	0.013524	0.0109299	0.0321873	0.00697828	0.00601001	0.000349335	0.0151996	0.0105698	0.00200782	0.0162753	0.00861068	0.00209091	0.0224292	0.012943	0.0558915	0.0157999	0.034936	0.00049825	0.00762207	0.00809159	0.00738899	0.000554121	0.024346	0.00553226	0.0141616	0.00109588	0.0175097	0.0479378	0.0164688	0.0191377	0.00711568	0.00214664	0.00369862	0.0151985	0.000283368	0.000407548	0.0109758	0.0151773	0.0080168	0.00521436	0.0285658	0.0115564	0.00877625	0.00873805	0.00158482	0.0466465	0.0161251	0.00319492	0.00763999	0.0025013	0.00999521	0.025067	0.0535176	0.00934026	0.00132109	0.0566748	0.00910742	0.000966056	0.0469016	0.0237781	0.0305877	0.0116552	0.0215679	0.0177593	0.0145147	0.00315702	0.00539854	-0.0007488877	0.1760792	0	90.67106	0.488878	0.681974	0.81396	0.000149702	0.01058127	0.225842	0.589116	1.05062	2.13442	0.1753303	86.61167	1891.568	1.004271
150	-57482.5	-57102.49	-380.0096	79.43028	0.246231	1.38464	0.16257	0.486148	1.484059	0.01574768	0.009753958	0.0216632	0.012328	0.019541	0.00529798	0.00257978	0.0137055	0.00844315	0.00275196	0.00433183	0.0748006	0.0251307	0.000961718	0.00925357	0.00112533	0.0254872	0.00242323	0.013826	0.000253919	0.000149716	0.00589414	0.0216571	0.00709614	0.0379652	0.00579329	0.0233789	0.00181501	0.00634365	0.0214286	0.0200093	0.00921694	0.0245128	0.000778333	0.0179198	0.00221354	0.0022046	0.0256131	0.00509075	0.0128586	0.0124073	0.0185418	0.0250542	0.0070479	0.0140832	0.0168718	0.0300718	0.0355833	0.0184247	0.00574107	0.0249982	0.00236177	0.00674032	0.0115262	0.0121506	0.000326926	0.00147385	0.0249694	0.01295	0.0135751	0.00981386	0.00112977	0.0157775	0.00868913	0.0266136	0.0123566	0.00321338	0.0153615	0.00483867	0.00816843	0.0138822	0.0607211	0.0504263	0.0359244	0.0344161	0.0144537	0.010168	0.0518549	0.00764982	0.0717683	0.0389866	0.00883038	0.000283738	0.0218467	0.00267339	0.0100746	0.0341161	0.0077168	0.0204575	0.00573341	0.00510069	0.00746771	0.0226729	0.000411075	0.00124067	0.0195551	0.0250761	0.00303907	0.01414	0.0377769	0.0024817	0.0194884	0.00455821	0.000568607	0.00362468	0.0304162	0.00415505	0.0128162	0.00683348	0.00930609	0.0432068	0.0253799	0.00177047	0.000262301	0.0495479	0.0134754	0.0049432	0.0204402	0.00756165	0.000932089	0.00299432	0.0233347	0.014178	0.000215118	0.0407901	0.00222187	-0.006137896	0.1783888	0	87.24039	0.511843	0.677216	0.813931	9.15266e-05	0.01044843	0.222849	0.585881	1.04947	2.1418	0.1722509	79.74758	1858.501	1.035633
200	-57365.55	-57017.46	-348.0888	86.2505	0.235438	1.32537	0.181585	0.519187	1.437593	0.01147156	0.009754083	0.0160678	0.0637229	0.0002336	0.0214708	0.00295382	0.0035422	0.00524679	0.0228288	0.0046673	0.000102436	0.00804487	0.0253295	0.00791431	0.00154096	0.0142721	0.00788	0.0186039	0.0097827	9.36693e-05	0.0073836	0.0211578	0.00578088	0.00697555	0.00222919	0.00918279	0.0518649	0.025897	0.00181888	0.0635629	0.00758186	0.00320677	0.0118111	0.0106116	0.00288748	0.00339141	0.020075	0.0242628	0.0113381	0.000707564	0.0138222	0.0104545	0.000906259	0.0146294	0.00185388	0.00432162	0.00983318	0.0758295	0.00392421	0.00307161	0.021461	0.00219183	0.00782488	0.0141275	0.00618504	0.00648555	0.000734786	0.0099153	0.0125253	0.00853321	0.00670394	0.000732721	0.00857224	5.70744e-05	0.0170409	0.00159842	0.00511243	0.00257892	0.011142	0.00852015	0.0208944	0.00726561	0.00258468	0.000135716	0.00511084	0.0145211	0.0283213	0.00158548	0.00706676	0.00112317	0.000747131	0.00674655	0.00663306	0.000921812	0.0206495	0.0205818	0.00694425	0.0152056	0.0727751	0.00754934	0.00514582	0.00869642	0.0211835	0.006796	0.00614205	0.0110749	0.000521997	0.0290909	0.0188036	0.016781	0.00353485	0.00340037	0.0014251	0.0458196	0.00598726	0.000987157	0.00794864	0.0256964	0.0103015	0.0604131	0.000160415	0.00808187	0.00638003	0.044084	0.00453139	0.004881	0.011381	0.00549243	0.00792788	0.0134058	0.0108248	0.00482161	0.000352857	0.0026613	0.00232382	0.009863782	0.1535644	0	89.64877	0.494878	0.669957	0.830469	0.000665665	0.01052612	0.215519	0.577828	1.04654	2.16012	0.1634282	87.2358	1844.726	0.9396445
250	-57285.79	-56910.36	-375.4295	85.0454	0.217989	1.14626	0.175902	0.579164	2.000888	0.01307618	0.008976399	0.0133959	0.0067591	0.00619762	0.0184942	0.0241805	0.0107251	0.0108983	0.0739436	0.0196444	0.00808956	0.0117661	0.00616821	0.0278868	0.0112745	0.00229765	0.0126612	0.0185143	0.00664729	0.000862795	0.00169635	0.0175714	0.0392391	0.02314	0.00132354	0.00113134	0.0414212	0.0552232	0.00684715	0.027358	0.00814012	0.00116916	0.0139031	0.00898091	0.00214473	0.00077359	0.0033035	0.0190205	0.0219338	0.00263215	0.00598651	0.0067895	0.00769729	0.0113385	0.00250457	0.0254959	0.00110304	0.00943889	0.00958917	0.0014037	0.0206866	0.0104018	0.00560135	0.0160817	0.0488961	0.00447887	0.0565832	0.00965923	0.0107689	0.00551543	0.0120325	0.00152661	0.00994809	0.0154099	0.00225394	0.00018506	0.0124127	0.00857752	0.00553594	0.000704279	0.0037303	0.00128857	0.000241087	0.0486805	0.0135822	0.0108966	0.0270524	0.0130328	0.00278466	0.00324699	0.0125061	0.0136401	0.0718081	0.00524902	0.0325361	0.00528386	0.0100499	0.00161735	0.00368684	0.0132333	0.00848406	0.00218382	0.0592028	0.00519295	0.00992756	0.00645383	0.0036655	0.00675848	0.0171108	0.0131718	0.0430368	0.0143563	0.00688921	0.0122173	0.00627031	0.0399739	0.00590642	0.00715229	0.00756154	0.0067058	0.0234058	6.44149e-05	0.0205088	0.0346559	0.00207014	0.0125804	0.0071639	0.0172235	0.00316776	0.0244031	0.0552949	0.0139238	0.0158739	0.0063071	0.00209541	-0.0005061439	0.1204347	0	87.13643	0.484737	0.683127	0.833452	0.000665665	0.01274995	0.293381	0.655108	1.07001	1.9815	0.1199285	86.04559	1923.25	1.00422
300	-57220.15	-56857.81	-362.3396	79.33281	0.212576	1.00041	0.180148	0.630981	1.853124	0.01414861	0.01001673	0.017858	0.019466	0.0055805	0.023026	0.000638114	0.0105648	0.00729238	0.00376339	0.00635148	0.00632863	0.00411059	0.00490803	0.000661051	0.0107494	0.0084007	0.0317766	0.0905246	0.0064492	0.0101708	0.0108019	0.0142865	0.003032	0.00562808	0.00860828	0.0120012	0.00887856	0.0161553	0.0263114	0.00618505	0.0119396	0.0356234	0.00163899	0.00336378	0.000881033	0.000156268	0.0119071	0.018395	0.00609031	0.000911844	0.0115817	0.00329586	0.00178114	0.0100249	0.0242364	0.00154364	0.00405653	0.00336911	0.0107221	0.00231457	0.0162209	0.00834637	0.0276727	0.0176459	0.0334321	0.0121146	0.0222337	0.00366468	0.013003	0.0123741	0.00270754	0.000586662	0.00989826	0.00192235	0.0143935	0.000750417	0.0139167	0.00800116	0.027167	0.0106829	0.0348961	0.0224702	0.00386202	0.0137694	0.00334601	0.0210574	0.0340565	0.0347538	0.0252831	0.00934913	0.031245	0.00185569	0.00641902	0.00445414	0.0264793	0.00567763	0.0477287	0.00446674	0.00205315	0.0128684	0.0103419	0.0105802	0.00846744	0.0094128	0.00742371	0.0191843	0.020536	0.0396796	0.0428647	0.00310658	0.0460653	0.001348	0.00721043	0.0309246	0.0573492	0.00590041	0.00239721	0.00774677	0.00328879	3.38637e-05	0.00460263	0.00317188	0.0234414	0.0465395	0.00917979	0.0540487	0.0147857	0.00316832	0.0197385	0.0212225	0.0118014	0.0393176	0.012084	0.00454247	0.00797017	-0.001679028	0.1279794	0	85.91472	0.465111	0.683127	0.842473	0.000861371	0.01338412	0.275088	0.638427	1.06584	2.02065	0.1263003	80.2406	1763.631	1.013294
350	-57111.32	-56765.75	-345.5674	79.25151	0.20009	0.91564	0.185968	0.736384	2.082927	0.01228284	0.009264253	0.0202087	0.0284203	0.0340724	0.0048185	0.0176781	0.00496587	0.0101265	0.072285	0.00908993	0.00337604	0.0231652	0.00476557	0.0323656	0.00457555	0.00317053	0.0256521	0.00672485	0.00905654	0.0267831	0.0144695	0.0208829	0.00773748	0.0120424	0.00290657	0.00507577	0.00112412	0.0209761	0.00319502	0.0107066	0.0109282	0.0198546	0.0165956	0.0108188	0.00129596	0.000775104	0.0173625	0.00844245	0.032866	0.0183249	0.0364431	0.0207345	0.0134702	0.0124941	0.00255576	0.0026307	0.0165922	0.0217182	0.0211832	0.00245652	0.0083593	0.0139279	0.00428726	0.0124847	0.00112919	0.0100042	0.0389871	0.0238533	0.0117701	0.00381155	0.00969775	0.0016748	0.0115726	0.000978779	0.00887543	0.00460093	0.0114014	0.00577229	0.0210489	0.0348661	0.00767467	0.0224917	0.000682833	0.0133582	0.0168101	0.0283552	0.0506077	0.0145796	0.0163212	0.000791788	0.0003127	0.00126302	0.0100341	0.00869277	0.00287781	0.0085541	0.0508704	0.011828	0.00117609	0.0180963	0.010103	0.0103307	0.0289196	0.017499	0.00101285	0.00295995	0.0214771	0.00728564	0.0286215	0.00254395	0.0121372	0.0042445	0.0080333	0.0231961	0.00181593	0.0080036	0.00397731	0.0126596	0.0108066	0.0217701	0.00240968	0.00630626	0.00703964	0.0299641	0.00647041	0.0198411	0.0163932	0.0117461	0.00788285	0.00171566	0.00797494	0.0143189	0.000370357	0.00348016	0.00502549	0.00547386	0.1753079	0	98.97503	0.439925	0.673406	0.825222	0.00426442	0.01099738	0.302977	0.663552	1.07193	1.96154	0.1807817	80.81182	1676.235	0.9697212
400	-57090.31	-56694.57	-395.7416	78.97055	0.190717	0.733231	0.193309	0.844849	2.013774	0.02147051	0.01039938	0.0153451	0.000628341	0.00726021	0.000107311	0.00268099	0.0212986	0.00284353	0.0199582	0.0136569	0.0161303	0.0463597	0.0142407	0.00835106	0.00463706	0.00161741	0.00832518	0.00545641	0.0527753	0.0281567	0.0173453	0.0157358	0.0517698	0.00192905	0.0107155	0.0409349	0.0406456	0.000573951	0.00690431	0.00748962	0.0099332	0.000756838	0.0102114	0.00169915	0.0022203	0.00474531	0.0213017	0.0096292	0.00561135	0.00952407	0.0169958	0.0325139	0.061555	0.012209	0.0190537	0.0483895	0.0345196	0.0174324	0.0012657	0.0073531	0.0288083	0.00395966	0.0370081	0.0345701	0.00492489	0.0122404	0.00164527	0.0189107	0.0100289	0.0504927	0.00913144	0.169263	0.0116704	0.00128896	0.0351174	0.00304497	0.00226734	0.00320198	0.0503607	0.0345156	0.0475096	0.0044071	0.023855	0.0484923	0.0112583	0.0043958	0.101421	0.0237553	0.0210089	0.0193267	0.0594556	0.0258447	0.0118402	0.00310943	0.0057956	0.0352493	0.0432476	0.00635932	0.00280763	0.0154529	0.0142714	0.00459186	0.0156209	0.026263	0.0137646	0.021095	0.00559565	0.0383216	0.00323711	0.0185553	0.0195045	0.0158596	0.0172135	0.00211374	0.00669058	0.0139033	0.00678762	0.0133375	0.00486031	0.00979336	0.00232375	0.0488721	0.00178721	0.0455126	0.000936755	0.00629593	0.0138719	0.00210787	0.00378823	0.0364935	0.0268328	0.0109921	0.00131002	0.00536616	0.00830257	-0.001107487	0.2266705	0	81.90561	0.426615	0.676752	0.817313	0.00320919	0.006817528	0.294913	0.65647	1.07033	1.97829	0.2255631	81.37633	1716.924	1.00491
450	-56993.51	-56655.65	-337.8656	75.55852	0.194743	0.620626	0.184228	1.0061	1.8687	0.01339429	0.01074374	0.0170499	0.00044842	0.00340767	0.0046631	0.0190525	0.0446728	0.0026664	0.00741962	0.0100275	0.00914249	0.00631281	0.00401306	0.00135515	0.00554435	0.0387919	0.00509854	0.0423097	0.000588764	0.0156931	0.0159719	0.0168334	0.004183	0.0120559	0.00943796	0.00114769	0.00424424	0.000505211	0.00403357	0.00130088	0.0123895	0.00666121	0.0154801	0.00826121	0.00364687	0.00504273	0.0158691	0.0261765	0.0484006	0.0163439	0.0138879	0.00485809	0.0119146	0.0119549	0.0126449	0.010147	0.00958889	0.00111761	0.0284095	0.018667	0.0135063	0.00374603	0.00396943	0.0463353	0.0239589	0.0490197	0.0165355	0.0140522	0.0090188	0.0436069	0.0123144	0.00677596	0.0102182	0.00192114	0.0301051	0.00291915	5.31991e-05	0.00858698	0.00689887	0.00862229	0.00794365	0.0615885	0.0108539	0.0223987	0.00297868	0.0383425	0.0071818	0.0153198	0.00461518	0.0008331	0.0219392	0.0239941	0.0130638	0.0116046	0.0270896	0.0158787	0.0296134	0.00784913	0.00400528	0.018832	0.00593011	0.000799946	0.0364828	0.0244428	0.00329589	0.0166692	0.00229636	0.00881115	0.00024815	0.00724258	0.00276725	0.0361662	0.0251539	0.0249923	0.0146549	0.0112203	0.00685134	0.00957628	0.012728	0.0239369	0.00900572	0.00382718	0.00271028	0.030976	0.0203696	0.00505315	0.0306353	0.00561229	0.0020762	0.0030772	0.00396688	0.00566162	0.0528195	0.000148317	0.00376995	0.006125441	0.1566168	0	80.64649	0.419019	0.65874	0.848871	0.000465299	0.01622237	0.277081	0.640283	1.06633	2.01631	0.1627422	76.09516	1552.697	0.9623611
