Starting job 16490014 on c5-60 on Saga at Wed Dec 24 11:42:35 CET 2025


RevBayes version (1.1.1)
Build from  () on Fri May  5 01:48:14 PM CEST 2023

Visit the website www.RevBayes.com for more information about RevBayes.

RevBayes is free software released under the GPL license, version 3. Type 'license()' for details.

To quit RevBayes type 'quit()' or 'q()'.


> source("scripts/mcmc_CEFBDRP_Ranges_rhinos.Rev")
   Processing file "scripts/mcmc_CEFBDRP_Ranges_rhinos.Rev"
   Successfully read one character matrix from file 'data/rrna.nex'
   Successfully read one character matrix from file 'data/coding_1.nex'
   Successfully read one character matrix from file 'data/coding_2.nex'
   Successfully read one character matrix from file 'data/coding_3.nex'
   Successfully read one character matrix from file 'data/character_matrix_RB_rhinos.nex'
   Processing file "scripts/model_FBDRP_rhinos.Rev"
   Processing of file "scripts/model_FBDRP_rhinos.Rev" completed
   Processing file "scripts/model_UCLN_rhinos.Rev"
   Processing of file "scripts/model_UCLN_rhinos.Rev" completed
   Processing file "scripts/model_GTRG_rhinos.Rev"
   Processing of file "scripts/model_GTRG_rhinos.Rev" completed
   Processing file "scripts/model_Morph_rhinos.Rev"
   NOTE: setNumStatesPartition() partitions by the maximum observed state, not the total number of observed states.
   NOTE: setNumStatesPartition() partitions by the maximum observed state, not the total number of observed states.
   NOTE: setNumStatesPartition() partitions by the maximum observed state, not the total number of observed states.
   Processing of file "scripts/model_Morph_rhinos.Rev" completed

   Running MCMC simulation
   This simulation runs 1 independent replicate.
   The simulator uses 422 different moves in a random move schedule with 527 moves per iteration

Iter        |      Posterior   |     Likelihood   |          Prior   |    elapsed   |        ETA   |
----------------------------------------------------------------------------------------------------
0           |         -99204   |       -98829.6   |       -374.402   |   00:00:00   |   --:--:--   |
50          |       -58005.7   |       -57677.7   |       -328.005   |   00:01:18   |   --:--:--   |
100         |       -57757.9   |       -57443.4   |        -314.53   |   00:02:40   |   355:30:40   |
150         |       -57640.7   |       -57309.2   |       -331.418   |   00:04:03   |   359:55:57   |
200         |       -57557.1   |       -57217.2   |       -339.885   |   00:05:24   |   359:54:36   |
250         |       -57455.2   |       -57122.2   |       -333.022   |   00:06:42   |   357:13:18   |
300         |       -57354.1   |       -57083.2   |       -270.852   |   00:07:58   |   353:56:28   |
350         |       -57357.8   |       -57049.6   |       -308.203   |   00:09:11   |   349:41:17   |
400         |       -57326.9   |       -57016.1   |       -310.773   |   00:10:23   |   345:56:17   |
450         |       -57323.9   |       -56993.7   |       -330.112   |   00:11:39   |   344:59:27   |
500         |       -57254.9   |       -56941.2   |       -313.757   |   00:12:52   |   342:53:48   |
550         |       -57228.2   |       -56926.4   |       -301.789   |   00:14:11   |   343:36:07   |
600         |       -57178.2   |       -56915.2   |       -262.984   |   00:15:34   |   345:39:59   |
650         |       -57157.9   |       -56885.5   |       -272.423   |   00:16:53   |   346:02:36   |
700         |       -57174.5   |       -56878.3   |       -296.157   |   00:18:15   |   347:18:53   |
750         |         -57151   |       -56870.8   |       -280.182   |   00:19:37   |   348:24:49   |
800         |       -57124.7   |       -56878.8   |       -245.829   |   00:21:01   |   349:55:39   |
850         |       -57141.5   |       -56876.3   |       -265.177   |   00:22:25   |   351:15:37   |
900         |       -57165.2   |       -56866.9   |       -298.278   |   00:23:49   |   352:26:33   |
950         |       -57172.1   |       -56869.5   |        -302.58   |   00:25:12   |   353:15:51   |


Iter        |      Posterior   |     Likelihood   |          Prior   |    elapsed   |        ETA   |
----------------------------------------------------------------------------------------------------
1000        |         -57150   |         -56882   |       -267.974   |   00:26:34   |   353:46:46   |
1050        |       -57177.1   |       -56872.6   |       -304.481   |   00:27:56   |   354:14:36   |
1100        |         -57134   |       -56871.5   |       -262.508   |   00:29:18   |   354:39:47   |
1150        |       -57187.8   |       -56871.3   |       -316.458   |   00:30:43   |   355:37:23   |
1200        |       -57158.2   |         -56880   |       -278.119   |   00:32:08   |   356:30:05   |
1250        |       -57167.3   |       -56873.9   |       -293.413   |   00:33:38   |   358:11:42   |
1300        |       -57107.2   |       -56883.4   |       -223.808   |   00:35:08   |   359:45:22   |
1350        |       -57078.5   |       -56880.6   |       -197.905   |   00:36:37   |   361:02:08   |
1400        |       -57112.8   |         -56868   |       -244.861   |   00:38:11   |   363:00:51   |
1450        |         -57145   |       -56850.3   |       -294.678   |   00:39:46   |   365:00:27   |
1500        |       -57155.2   |       -56846.7   |       -308.498   |   00:41:10   |   365:14:23   |
1550        |       -57136.8   |       -56856.1   |       -280.666   |   00:42:36   |   365:44:29   |
1600        |       -57181.8   |       -56849.2   |       -332.656   |   00:43:58   |   365:39:22   |
1650        |       -57166.4   |       -56848.8   |       -317.518   |   00:45:19   |   365:26:24   |
1700        |       -57159.8   |       -56833.8   |       -325.971   |   00:46:44   |   365:45:25   |
1750        |       -57169.9   |       -56852.2   |       -317.762   |   00:48:09   |   366:03:16   |
1800        |         -57097   |       -56840.1   |       -256.834   |   00:49:34   |   366:20:03   |
1850        |       -57135.2   |       -56836.3   |       -298.945   |   00:51:01   |   366:50:14   |
1900        |       -57102.8   |       -56830.8   |       -271.964   |   00:52:26   |   367:04:45   |
1950        |       -57221.3   |       -56840.6   |       -380.707   |   00:53:48   |   366:57:59   |


Iter        |      Posterior   |     Likelihood   |          Prior   |    elapsed   |        ETA   |
----------------------------------------------------------------------------------------------------
2000        |       -57132.4   |       -56841.8   |       -290.564   |   00:55:15   |   367:24:45   |
2050        |         -57142   |       -56849.2   |       -292.869   |   00:56:42   |   367:50:07   |
2100        |       -57147.7   |       -56860.8   |       -286.807   |   00:58:08   |   368:07:53   |
2150        |       -57209.6   |       -56855.7   |       -353.942   |   00:59:35   |   368:30:57   |
2200        |       -57199.9   |       -56855.1   |       -344.777   |   01:01:00   |   368:40:49   |
2250        |       -57171.8   |       -56844.5   |       -327.246   |   01:02:27   |   369:01:59   |
2300        |       -57226.3   |       -56849.4   |       -376.972   |   01:03:57   |   369:39:31   |
2350        |       -57143.6   |       -56851.4   |        -292.25   |   01:05:23   |   369:52:46   |
2400        |       -57169.3   |       -56842.8   |       -326.545   |   01:06:47   |   369:54:19   |
2450        |       -57203.1   |       -56860.4   |       -342.729   |   01:08:04   |   369:17:47   |
2500        |       -57163.8   |       -56831.8   |       -331.971   |   01:09:25   |   369:03:55   |
2550        |       -57231.9   |       -56841.8   |       -390.094   |   01:10:51   |   369:16:36   |
2600        |       -57163.9   |       -56844.4   |       -319.571   |   01:12:12   |   369:03:11   |
